state,agencyType,agencyName,quarter1,quarter2,quarter3,quarter4,population,,,
,,Murray,1,0,0,0,"18,188",,,
,,Newport,2,0,0,1,"15,357",,,
,,Nicholasville,0,0,0,1,"28,889",,,
,,Owensboro,2,0,1,1,"58,659",,,
,,Owingsville,1,0,0,0,"1,573",,,
,,Paducah,0,2,2,0,"25,017",,,
,,Paris,0,1,0,0,"9,754",,,
,,Raceland,0,0,0,1,"2,376",,,
,,Richmond,1,1,1,0,"32,828",,,
,,Russell Springs,0,0,1,0,"2,509",,,
,,Russellville,0,1,0,0,"7,053",,,
,,Shepherdsville,0,0,1,0,"11,788",,,
,,Shively,1,0,0,1,"15,669",,,
,,Somerset,1,0,0,0,"11,503",,,
,,Stanford,1,0,0,0,"3,654",,,
,,St. Matthews,0,0,0,1,"17,945",,,
,,Versailles,0,0,0,1,"8,973",,,
,,Vine Grove,0,1,0,0,"5,479",,,
,,Williamstown,1,0,0,0,"3,958",,,
,,Winchester,1,1,0,0,"18,387",,,
,Universities and Colleges,,,,,,,,,
,,Eastern Kentucky University,0,0,0,1,"16,111",,,
,,Morehead State University,1,0,0,0,"11,358",,,
,,University of Kentucky,0,0,0,1,"28,435",,,
,Metropolitan Counties,,,,,,,,,
,,Boone,0,1,3,1,,,,
,,Bullitt,0,1,0,0,,,,
,,Campbell County Police Department,0,0,1,0,,,,
,,Christian,0,1,0,1,,,,
,,Gallatin,1,0,0,0,,,,
,,Kenton,0,1,1,2,,,,
,,Oldham County Police Department,0,1,0,0,,,,
,,Pendleton2,0,0,1,0,,,,
,,Shelby,1,0,0,0,,,,
,,Warren,1,0,1,0,,,,
,Nonmetropolitan Counties,,,,,,,,,
,,Adair,1,0,0,0,,,,
,,Breckinridge,0,0,0,1,,,,
,,Hopkins,0,0,0,1,,,,
,,Laurel,0,0,0,1,,,,
,,Lewis,0,1,0,0,,,,
,,Marion,0,0,1,0,,,,
,,Marshall,1,0,0,0,,,,
,,McCracken,1,0,0,0,,,,
,,Nelson,1,0,0,0,,,,
,,Ohio,1,0,1,0,,,,
,State Police Agencies,,,,,,,,,
,,State Police:,,,,,,,,
,,Cannabis Suppression Section,0,1,3,0,,,,
,,Frankfort,0,0,0,1,,,,
,,Hazard,0,1,0,1,,,,
,,Henderson,0,0,0,1,,,,
,,Madisonville,0,1,0,0,,,,
,,Mayfield,0,0,1,0,,,,
,,Pikeville,1,0,0,0,,,,
,Other Agencies,,,,,,,,,
,,Fayette County Schools,0,1,0,0,,,,
,,Greater Hardin County Narcotics Task Force,2,0,0,0,,,,
,,Park Security,0,0,0,1,,,,
,,Pennyrile Narcotics Task Force,0,0,1,0,,,,
Louisiana,Total,,,,,,,,,
,Cities,,,,,,,,,
,,Bernice,0,0,1,0,"1,637",,,
,,Harahan,,1,,,"9,319",,,
,,New Orleans,1,1,,1,"387,113",,,
,Universities and Colleges,,,,,,,,,
,,University of New Orleans,,0,0,1,"9,323",,,
,Metropolitan Counties,,,,,,,,,
,,Calcasieu,0,1,0,1,,,,
,,Lafayette,0,1,,,,,,
Maine,Total,,,,,,,,,
,Cities,,,,,,,,,
,,Augusta,1,1,0,1,"18,717",,,
,,Bath,0,0,1,0,"8,325",,,
,,Gouldsboro,0,0,1,0,"1,746",,,
,,Hampden,1,0,0,0,"7,303",,,
,,Old Orchard Beach,0,1,2,0,"8,705",,,
,,Portland,2,0,0,2,"66,380",,,
,,Rumford,1,0,0,0,"5,705",,,
,,Saco,0,1,3,1,"18,974",,,
,,Searsport,1,0,0,0,"2,627",,,
,,South Portland,0,1,1,0,"25,327",,,
,,Waterville,0,1,0,0,"16,022",,,
,,Westbrook,0,0,0,1,"17,809",,,
,,Wiscasset,0,0,0,2,"3,645",,,
,Metropolitan Counties,,,,,,,,,
,,Sagadahoc,0,0,0,1,,,,
,Nonmetropolitan Counties,,,,,,,,,
,,Kennebec,0,1,0,0,,,,
Maryland,Total,,,,,,,,,
,Cities,,,,,,,,,
,,Baltimore,0,1,0,1,"623,513",,,
,,Cambridge,0,1,0,0,"12,669",,,
,,Salisbury,2,0,0,0,"31,779",,,
,,Thurmont,0,0,1,0,"6,463",,,
,Universities and Colleges,,,,,,,,,
,,St. Mary's College,1,0,0,0,"1,858",,,
,Metropolitan Counties,,,,,,,,,
,,Montgomery County Police Department,1,1,4,0,,,,
,,Prince George's County Police Department,0,0,0,1,,,,
,State Police Agencies,,,,,,,,,
,,State Police: ,,,,,,,,
,,Carroll County,0,0,1,0,,,,
,,Worcester County,0,1,0,0,,,,
Massachusetts,Total,,,,,,,,,
,Cities,,,,,,,,,
,,Acton,0,0,2,1,"23,193",,,
,,Agawam,0,0,0,2,"28,769",,,
,,Amherst,1,0,0,1,"38,977",,,
,,Arlington,0,1,2,2,"44,439",,,
,,Attleboro,0,0,1,1,"44,084",,,
,,Barnstable,2,0,1,0,"44,642",,,
,,Belmont,0,0,0,1,"25,550",,,
,,Beverly,1,0,0,0,"41,023",,,
,,Billerica,0,0,1,0,"42,393",,,
,,Boston,16,32,27,20,"654,413",,,
,,Braintree,1,0,0,1,"37,067",,,
,,Brockton,0,1,0,0,"94,427",,,
,,Brookline,1,0,0,0,"59,413",,,
,,Burlington,0,1,0,0,"25,765",,,
,,Cambridge,3,3,3,4,"108,201",,,
,,Chicopee,0,0,0,1,"55,831",,,
,,Cohasset,0,0,1,0,"8,493",,,
,,Danvers,0,1,1,1,"27,809",,,
,,Deerfield,0,1,0,0,"5,080",,,
,,Dracut,0,1,0,0,"31,067",,,
,,Easthampton,0,0,1,0,"15,954",,,
,,East Longmeadow,0,1,0,0,"16,092",,,
,,Edgartown,0,1,1,0,"4,331",,,
,,Everett,1,0,1,0,"43,368",,,
,,Fall River,2,0,1,0,"88,915",,,
,,Gloucester,0,1,1,0,"29,383",,,
,,Grafton,0,1,0,0,"18,301",,,
,,Great Barrington,0,0,1,0,"6,971",,,
,,Harvard,1,0,0,0,"6,597",,,
,,Haverhill2,2,3,2,5,"62,552",,,
,,Hingham,0,0,1,0,"22,940",,,
,,Hudson,0,0,1,0,"19,765",,,
,,Leominster,0,1,0,0,"41,179",,,
,,Lunenburg,0,0,1,0,"11,238",,,
,,Lynn,1,13,5,2,"92,131",,,
,,Malden2,0,1,3,3,"60,925",,,
,,Marblehead,1,0,0,0,"20,332",,,
,,Marlborough,0,1,0,0,"39,748",,,
,,Mattapoisett,1,0,0,0,"6,219",,,
,,Medford,1,5,3,0,"57,551",,,
,,Melrose,0,0,1,1,"27,940",,,
,,Merrimac,0,0,1,0,"6,697",,,
,,Middleboro,0,0,0,1,"23,784",,,
,,Monson,0,0,1,0,"8,762",,,
,,Needham,0,0,0,1,"29,990",,,
,,New Bedford,2,1,1,1,"95,366",,,
,,Newton,0,2,3,4,"88,881",,,
,,Norfolk,0,1,0,0,"11,835",,,
,,Northampton,1,0,0,0,"28,465",,,
,,North Andover,0,1,0,0,"29,502",,,
,,North Reading,0,0,0,1,"15,537",,,
,,Norton,0,5,4,1,"19,477",,,
,,Oxford,0,1,0,0,"13,869",,,
,,Pittsfield,1,0,0,0,"43,895",,,
,,Plymouth,2,2,2,0,"58,292",,,
,,Quincy,2,6,8,5,"94,035",,,
,,Raynham,0,0,0,1,"13,635",,,
,,Revere,2,1,0,0,"54,402",,,
,,Salem,1,1,1,1,"42,847",,,
,,Sharon,0,0,1,0,"18,177",,,
,,Somerville2,2,3,3,3,"79,798",,,
,,South Hadley,0,1,0,0,"17,747",,,
,,Springfield,1,0,0,0,"153,766",,,
,,Swampscott,1,1,0,1,"14,028",,,
,,Taunton,1,5,4,2,"56,277",,,
,,Upton,1,0,0,0,"7,719",,,
,,Wakefield,0,0,0,1,"26,394",,,
,,Waltham,0,2,2,4,"62,756",,,
,,Ware,1,0,0,0,"9,838",,,
,,Webster,0,0,0,1,"16,869",,,
,,Westport,0,0,0,1,"15,785",,,
,,West Tisbury,0,0,1,0,"2,908",,,
,,Whitman,0,1,0,0,"14,786",,,
,,Williamstown,0,0,0,1,"7,561",,,
,,Winthrop,0,1,0,0,"18,314",,,
,,Woburn,1,0,0,0,"39,401",,,
,,Worcester,1,1,3,1,"183,248",,,
,Universities and Colleges,,,,,,,,,
,,Assumption College,1,0,0,0,"2,756",,,
,,Boston University,0,0,2,1,"32,411",,,
,,Clark University,0,0,1,0,"3,551",,,
,,Emerson College,1,0,0,0,"4,561",,,
,,Massachusetts College of Liberal Arts,0,0,0,1,"1,716",,,
,,Massachusetts Institute of Technology,0,2,0,2,"11,301",,,
,,Massasoit Community College,0,0,0,1,"8,272",,,
,,Mount Holyoke College,1,0,0,0,"2,251",,,
,,Northeastern University,,1,1,,"20,053",,,
,,Springfield Technical Community College,0,0,0,1,"6,792",,,
,,Tufts University: Medford,0,1,0,3,"10,872",,,
,,University of Massachusetts: Amherst,2,2,1,11,"28,518",,,
,Other Agencies,,,,,,,,,
,,Massachusetts General Hospital,3,,1,1,,,,
Michigan,Total,,,,,,,,,
,Cities,,,,,,,,,
,,Ann Arbor,2,3,1,1,"117,768",,,
,,Auburn Hills,0,1,1,1,"21,859",,,
,,Battle Creek,0,0,1,0,"61,225",,,
,,Bay City,0,1,2,0,"34,307",,,
,,Benton Harbor,0,0,1,1,"10,014",,,
,,Beverly Hills,0,0,1,1,"10,493",,,
,,Blackman Township,1,0,0,2,"38,025",,,
,,Buena Vista Township,0,1,0,0,"8,348",,,
,,Burton,0,0,1,1,"28,996",,,
,,Cadillac,0,0,1,0,"10,261",,,
,,Canton Township,0,1,1,0,"89,073",,,
,,Chikaming Township,1,0,0,0,"3,074",,,
,,Clay Township,0,1,0,0,"8,895",,,
,,Clinton Township,0,0,1,1,"98,897",,,
,,Clio,1,0,0,0,"2,555",,,
,,Coldwater,0,1,0,0,"10,826",,,
,,Dearborn,2,1,1,1,"95,396",,,
,,Dearborn Heights,2,0,0,1,"56,366",,,
,,Detroit,5,5,3,3,"684,694",,,
,,East Lansing,0,1,3,0,"48,555",,,
,,Eastpointe,0,1,0,0,"32,674",,,
,,Essexville,0,1,0,0,"3,439",,,
,,Farmington Hills,1,0,1,0,"81,682",,,
,,Ferndale,0,0,2,0,"20,346",,,
,,Flat Rock,1,1,0,0,"9,819",,,
,,Flint,1,1,4,6,"99,166",,,
,,Fraser,1,0,0,0,"14,632",,,
,,Galesburg,1,4,1,0,"2,033",,,
,,Genesee Township,0,0,1,0,"20,665",,,
,,Grand Rapids,1,1,2,0,"193,385",,,
,,Greenville,0,0,2,0,"8,449",,,
,,Grosse Pointe Farms,0,0,1,1,"9,273",,,
,,Grosse Pointe Park,0,0,1,0,"11,281",,,
,,Grosse Pointe Shores,0,0,1,0,"2,946",,,
,,Harper Woods,0,0,0,1,"13,897",,,
,,Holland,0,0,1,0,"33,588",,,
,,Holly,0,0,0,1,"6,218",,,
,,Houghton,1,0,0,0,"7,632",,,
,,Huntington Woods,0,0,2,0,"6,385",,,
,,Inkster,0,2,1,0,"24,745",,,
,,Jackson,2,0,2,0,"33,404",,,
,,Kalamazoo,0,1,0,2,"75,857",,,
,,Lansing,1,1,3,1,"113,901",,,
,,Lapeer,1,0,0,0,"8,799",,,
,,Lincoln Park,1,0,1,0,"37,129",,,
,,Livonia,0,1,1,0,"94,833",,,
,,Madison Township,1,0,0,0,"8,558",,,
,,Manistee,0,0,1,0,"6,093",,,
,,Marshall,0,0,2,0,"7,028",,,
,,Melvindale,0,0,1,0,"10,428",,,
,,Menominee,0,0,0,1,"8,473",,,
,,Meridian Township,0,0,3,0,"41,133",,,
,,Monroe,1,0,0,0,"20,327",,,
,,Montrose Township,0,1,0,0,"7,638",,,
,,Mount Morris,0,0,0,1,"2,993",,,
,,Mount Pleasant,1,0,1,0,"26,227",,,
,,Mundy Township,0,1,0,0,"14,723",,,
,,Muskegon,0,0,2,0,"36,964",,,
,,Newaygo,1,0,0,0,"1,965",,,
,,Northville Township,1,1,1,1,"28,801",,,
,,Ontwa Township-Edwardsburg,1,0,1,0,"6,519",,,
,,Pittsfield Township,1,0,2,1,"36,722",,,
,,Prairieville Township,1,0,0,0,"3,403",,,
,,Richland Township: Saginaw County,0,0,1,0,"4,040",,,
,,Richmond,1,0,0,0,"5,828",,,
,,River Rouge,0,0,1,0,"7,625",,,
,,Riverview,0,2,1,0,"12,205",,,
,,Romeo,0,0,0,1,"3,580",,,
,,Romulus,0,0,1,0,"23,415",,,
,,Roseville,0,1,1,0,"47,618",,,
,,Royal Oak,0,0,1,0,"59,377",,,
,,Saginaw,1,2,2,1,"50,030",,,
,,Saline,0,1,0,0,"9,146",,,
,,Sault Ste. Marie,1,0,0,0,"14,084",,,
,,Shelby Township,0,0,1,2,"76,556",,,
,,Southfield,0,4,3,0,"73,321",,,
,,South Haven,0,0,0,1,"4,375",,,
,,St. Clair,0,0,0,2,"5,401",,,
,,St. Clair Shores,0,0,0,1,"60,157",,,
,,St. Joseph,0,0,0,1,"8,247",,,
,,Three Rivers,1,0,0,0,"7,743",,,
,,Traverse City,1,0,0,0,"15,105",,,
,,Trenton,1,0,0,0,"18,404",,,
,,Troy,0,0,2,0,"83,279",,,
,,Van Buren Township,0,0,1,0,"28,269",,,
,,Walled Lake,0,0,1,0,"7,158",,,
,,Warren,2,4,5,3,"135,080",,,
,,Wayland,0,0,0,1,"4,077",,,
,,West Bloomfield Township,0,0,1,2,"66,222",,,
,,Westland,0,1,0,0,"82,246",,,
,,Wyandotte,1,0,0,0,"25,082",,,
,,Wyoming,1,1,1,0,"74,603",,,
,,Ypsilanti,1,1,0,0,"19,901",,,
,Universities and Colleges,,,,,,,,,
,,Central Michigan University,0,0,2,0,"26,841",,,
,,Eastern Michigan University,0,1,0,1,"23,447",,,
,,Ferris State University,0,0,0,1,"14,707",,,
,,Grand Rapids Community College,0,0,1,1,"16,590",,,
,,Lansing Community College,0,0,0,1,"17,562",,,
,,Michigan State University,23,0,2,0,"49,317",,,
,,Oakland University,0,0,0,1,"20,169",,,
,,Schoolcraft College,,,1,0,"12,385",,,
,,University of Michigan: Ann Arbor,1,1,1,0,"43,710",,,
,Metropolitan Counties,,,,,,,,,
,,Genesee,2,1,0,1,,,,
,,Jackson,1,0,1,1,,,,
,,Kent,1,1,1,1,,,,
,,Macomb,0,1,2,0,,,,
,,Midland,0,1,0,0,,,,
,,Monroe,0,1,0,0,,,,
,,Oakland,2,1,6,2,,,,
,,Ottawa,1,3,1,1,,,,
,,Van Buren,1,0,1,1,,,,
,,Washtenaw,2,2,2,0,,,,
,Nonmetropolitan Counties,,,,,,,,,
,,Allegan,0,0,0,1,,,,
,,Gratiot,0,0,1,0,,,,
,,Isabella,0,1,0,0,,,,
,,Newaygo,0,0,2,2,,,,
,,Tuscola,0,0,0,1,,,,
,,Wexford,0,0,1,0,,,,
,State Police Agencies,,,,,,,,,
,,State Police: Gratiot County,0,0,0,1,,,,
Minnesota,Total,,,,,,,,,
,Cities,,,,,,,,,
,,Alexandria,0,0,1,0,"11,713",,,
,,Apple Valley,0,0,1,0,"50,472",,,
,,Blaine,1,1,1,2,"61,187",,,
,,Brooklyn Park,1,0,0,0,"78,986",,,
,,Crystal,0,0,0,1,"22,692",,,
,,Duluth,0,0,0,1,"86,106",,,
,,Eagan,0,0,5,0,"65,754",,,
,,Eveleth,1,0,0,0,"3,693",,,
,,Fridley,1,0,1,0,"27,778",,,
,,Inver Grove Heights,2,1,2,0,"34,454",,,
,,Jordan,0,0,0,1,"5,977",,,
,,Mankato,1,1,0,0,"40,959",,,
,,Maplewood,0,0,1,0,"40,295",,,
,,Marshall,1,0,0,0,"13,433",,,
,,Mendota Heights,0,2,0,0,"11,196",,,
,,Minneapolis,8,10,7,7,"404,461",,,
,,Minnetonka,0,0,1,0,"51,769",,,
,,Moorhead,0,1,0,0,"39,707",,,
,,Plymouth,2,2,2,0,"74,833",,,
,,Robbinsdale,1,0,0,0,"14,387",,,
,,Roseville,0,1,0,0,"35,332",,,
,,St. Cloud,,3,1,1,"66,366",,,
,,St. Louis Park,0,0,2,0,"47,957",,,
,,St. Paul,5,4,4,3,"297,984",,,
,Metropolitan Counties,,,,,,,,,
,,Anoka,0,0,1,0,,,,
,,Carlton,0,1,0,0,,,,
,,Wright,0,0,1,0,,,,
Mississippi,Total,,,,,,,,,
,Nonmetropolitan Counties,,,,,,,,,
,,Adams,0,0,0,1,,,,
Missouri,Total,,,,,,,,,
,Cities,,,,,,,,,
,,Bolivar,0,1,0,0,"10,523",,,
,,Columbia,0,0,1,0,"116,847",,,
,,Creve Coeur,0,1,0,0,"17,874",,,
,,Grain Valley,0,1,0,0,"13,188",,,
,,Grandview,0,1,0,0,"25,512",,,
,,Hazelwood,0,0,0,1,"25,662",,,
,,Independence,1,0,0,2,"117,321",,,
,,Jennings,0,0,0,5,"14,762",,,
,,Kansas City,6,9,11,5,"468,417",,,
,,Lee's Summit,0,0,2,0,"93,594",,,
,,Rich Hill,0,1,0,0,"1,334",,,
,,Rolla,0,0,2,0,"19,876",,,
,,Springfield,1,0,0,4,"165,280",,,
,,St. Charles,1,0,0,0,"67,970",,,
,,St. Louis,0,2,2,2,"318,574",,,
,,St. Peters,1,0,0,0,"55,362",,,
,Universities and Colleges,,,,,,,,,
,,Northwest Missouri State University,0,0,1,0,"6,485",,,
,,University of Missouri: ,,,,,,,,
,,Columbia,,,,1,"34,616",,,
,,Kansas City,0,0,0,1,"15,718",,,
,,St. Louis,0,0,0,1,"16,809",,,
,Metropolitan Counties,,,,,,,,,
,,St. Charles,0,0,1,0,,,,
,,St. Louis County Police Department,1,2,1,1,,,,
,Nonmetropolitan Counties,,,,,,,,,
,,Henry,0,1,0,0,,,,
,,Ozark,0,0,1,0,,,,
,,Stone,0,1,0,0,,,,
Montana,Total,,,,,,,,,
,Cities,,,,,,,,,
,,Billings,2,1,1,2,"110,245",,,
,,Columbia Falls,0,1,0,0,"4,824",,,
,,Deer Lodge,0,0,1,1,"3,084",,,
,,Helena,1,0,1,0,"29,928",,,
,,Kalispell,1,0,0,1,"21,238",,,
,,Missoula,1,1,0,0,"69,674",,,
,Metropolitan Counties,,,,,,,,,
,,Missoula,5,0,1,0,,,,
,Nonmetropolitan Counties,,,,,,,,,
,,Flathead,0,1,0,0,,,,
,,Lake,0,0,1,0,,,,
,,Lewis and Clark,0,0,2,3,,,,
,,Park,1,0,0,0,,,,
,,Powell,0,1,0,0,,,,
Nebraska,Total,,,,,,,,,
,Cities,,,,,,,,,
,,Blair,1,0,0,0,"7,986",,,
,,Chadron,0,1,0,0,"5,773",,,
,,Crete,,0,1,0,"7,171",,,
,,Lincoln,5,15,4,4,"271,208",,,
,,Nebraska City,0,0,0,1,"7,243",,,
,,Norfolk,0,0,0,2,"24,588",,,
,,Omaha2,2,5,2,4,"438,465",,,
Nevada,Total,,,,,,,,,
,Cities,,,,,,,,,
,,Henderson,0,0,2,0,"274,121",,,
,,Las Vegas Metropolitan Police Department,2,0,6,9,"1,530,899",,,
,,North Las Vegas,0,,0,1,"229,436",,,
,,Reno,0,1,1,2,"235,055",,,
New Hampshire,Total,,,,,,,,,
,Cities,,,,,,,,,
,,Belmont,0,0,1,0,"7,257",,,
,,Concord,0,0,1,0,"42,358",,,
,,Dover,0,0,2,0,"30,633",,,
,,Farmington,1,0,1,0,"6,800",,,
,,Laconia,0,0,1,0,"16,043",,,
,,Lancaster,0,1,0,0,"3,421",,,
,,Lebanon,1,0,0,0,"13,716",,,
,,New London,1,0,0,0,"4,620",,,
,,Pelham,1,0,0,0,"13,133",,,
,,Pembroke,0,0,0,1,"7,125",,,
,,Plymouth,0,1,0,1,"6,989",,,
New Jersey,Total,,,,,,,,,
,Cities,,,,,,,,,
,,Aberdeen Township,0,0,0,2,"18,215",,,
,,Asbury Park,0,0,1,0,"15,789",,,
,,Atlantic Highlands,1,0,1,0,"4,346",,,
,,Berkeley Township,0,1,0,0,"41,957",,,
,,Bordentown Township,0,0,0,1,"11,438",,,
,,Bradley Beach,0,1,0,0,"4,270",,,
,,Brick Township,0,1,0,0,"75,995",,,
,,Byram Township,1,0,1,0,"8,117",,,
,,Carteret,0,1,0,0,"24,264",,,
,,Clark Township,0,1,0,0,"15,308",,,
,,Collingswood,0,0,1,0,"13,855",,,
,,Colts Neck Township,0,1,2,0,"10,084",,,
,,Cranbury Township,2,0,1,0,"3,929",,,
,,Denville Township,1,0,0,0,"16,917",,,
,,Dunellen,1,1,0,0,"7,388",,,
,,East Brunswick Township,3,2,0,4,"48,391",,,
,,East Hanover Township,0,1,0,2,"11,338",,,
,,Egg Harbor Township,0,0,0,1,"43,992",,,
,,Elk Township,0,1,0,0,"4,262",,,
,,Englewood,1,0,0,0,"27,665",,,
,,Evesham Township,1,3,1,7,"45,623",,,
,,Ewing Township,2,1,0,0,"36,787",,,
,,Fair Lawn,2,0,0,0,"33,174",,,
,,Fort Lee,1,2,2,0,"36,226",,,
,,Freehold,0,0,1,0,"12,042",,,
,,Freehold Township,0,1,1,1,"36,033",,,
,,Galloway Township,0,0,2,0,"37,716",,,
,,Glassboro,1,1,0,0,"19,082",,,
,,Glen Ridge,0,1,0,0,"7,658",,,
,,Hackettstown,1,0,0,0,"9,576",,,
,,Hamilton Township: Atlantic County,0,0,2,0,"26,802",,,
,,Hamilton Township: Mercer County,1,0,,0,"89,138",,,
,,Harrison Township,1,1,0,0,"12,812",,,
,,Highland Park,1,1,1,1,"14,478",,,
,,Hightstown,0,1,0,1,"5,592",,,
,,Hillsborough Township,0,2,2,0,"39,522",,,
,,Hoboken,3,2,1,2,"53,303",,,
,,Holmdel Township,0,1,0,0,"16,699",,,
,,Hopewell Township,0,0,1,0,"18,416",,,
,,Howell Township,1,4,1,1,"51,884",,,
,,Jackson Township,0,0,0,1,"56,347",,,
,,Jersey City,2,1,1,0,"260,005",,,
,,Keansburg,1,1,1,1,"9,991",,,
,,Kearny,0,1,0,2,"41,964",,,
,,Lacey Township,2,0,0,0,"28,100",,,
,,Lakewood Township,1,5,7,2,"93,749",,,
,,Lawrence Township: Mercer County,0,0,2,0,"33,133",,,
,,Little Egg Harbor Township,3,1,1,0,"20,401",,,
,,Little Falls Township,0,0,0,4,"14,564",,,
,,Livingston Township,0,0,1,0,"29,694",,,
,,Lodi,0,1,0,0,"24,648",,,
,,Lopatcong Township,1,0,0,0,"8,056",,,
,,Madison,0,1,0,0,"16,380",,,
,,Manalapan Township,1,2,1,0,"40,063",,,
,,Manasquan,0,0,0,1,"5,721",,,
,,Manchester Township,0,1,0,0,"43,394",,,
,,Mansfield Township: Burlington County,0,0,0,2,"8,568",,,
,,Mansfield Township: Warren County,0,0,1,0,"7,550",,,
,,Mantua Township,0,0,1,0,"15,105",,,
,,Maple Shade Township,0,1,0,0,"19,024",,,
,,Marlboro Township,0,0,1,2,"40,351",,,
,,Medford Township,3,,0,4,"23,343",,,
,,Mendham,0,1,0,0,"5,029",,,
,,Metuchen,0,1,0,0,"13,823",,,
,,Middlesex,0,0,0,1,"13,876",,,
,,Middle Township,1,0,0,0,"18,883",,,
,,Middletown Township,1,2,0,0,"66,223",,,
,,Monroe Township: Gloucester County,0,0,1,1,"36,933",,,
,,Monroe Township: Middlesex County,3,4,3,1,"42,333",,,
,,Moorestown Township,1,0,0,0,"20,651",,,
,,Morris Township,0,0,0,1,"22,614",,,
,,Mount Laurel Township,0,1,0,0,"41,698",,,
,,Mount Olive Township,1,0,0,1,"28,891",,,
,,Neptune City,0,1,0,0,"4,831",,,
,,Neptune Township,2,1,7,2,"27,812",,,
,,Newark,0,0,0,5,"279,110",,,
,,New Brunswick,2,0,1,3,"56,193",,,
,,New Providence,1,0,1,0,"12,387",,,
,,Newton,0,0,0,1,"7,897",,,
,,North Bergen Township,1,2,0,0,"62,817",,,
,,North Brunswick Township,0,0,1,1,"42,526",,,
,,Nutley Township,1,1,0,0,"28,625",,,
,,Ocean City,0,0,2,0,"11,392",,,
,,Oradell,0,0,0,2,"8,175",,,
,,Palmyra,0,0,1,0,"7,353",,,
,,Paramus,0,0,1,1,"26,791",,,
,,Parsippany-Troy Hills Township,0,1,0,0,"54,025",,,
,,Passaic,2,0,1,0,"71,228",,,
,,Pemberton Township,0,1,0,1,"27,916",,,
,,Pine Hill,0,1,0,0,"10,583",,,
,,Piscataway Township,1,1,0,0,"59,089",,,
,,Pitman,0,4,1,2,"8,941",,,
,,Point Pleasant,0,1,0,0,"18,547",,,
,,Randolph Township,2,5,1,0,"26,055",,,
,,Readington Township,0,1,0,0,"16,081",,,
,,Ridgefield Park,0,1,0,0,"12,990",,,
,,Ridgewood,0,1,0,1,"25,482",,,
,,Riverdale,1,0,0,0,"4,162",,,
,,Riverton,1,0,0,0,"2,771",,,
,,Robbinsville Township,0,3,0,0,"14,176",,,
,,Roxbury Township,0,0,0,1,"23,640",,,
,,Rumson,0,0,0,2,"6,980",,,
,,South Brunswick Township,1,2,3,1,"45,096",,,
,,South Plainfield,0,1,0,0,"23,911",,,
,,Springfield,0,0,0,1,"17,104",,,
,,Spring Lake,0,1,0,0,"3,003",,,
,,Stratford,2,0,0,0,"6,943",,,
,,Trenton,0,0,1,0,"84,324",,,
,,Union Beach,1,0,0,0,"5,701",,,
,,Union City,3,0,0,2,"68,787",,,
,,Union Township,0,0,0,1,"57,830",,,
,,Verona,2,0,0,0,"13,771",,,
,,Vineland,1,0,0,0,"61,115",,,
,,Voorhees Township,0,0,1,0,"29,240",,,
,,Weehawken Township,0,0,0,1,"13,579",,,
,,Westampton Township,0,0,1,0,"8,772",,,
,,West Deptford Township,1,0,0,1,"21,490",,,
,,West Long Branch,1,1,0,0,"8,615",,,
,,West Milford Township,0,0,2,2,"26,623",,,
,,Winslow Township,0,0,1,0,"39,139",,,
,,Woodbridge Township,2,3,1,1,"100,969",,,
,,Woodbury,5,4,1,5,"10,071",,,
,,Woodstown,0,0,0,1,"3,478",,,
,Metropolitan Counties,,,,,,,,,
,,Camden County Police Department,2,1,0,1,,,,
,State Police Agencies,,,,,,,,,
,,State Police:,,,,,,,,
,,Monmouth County,0,0,3,0,,,,
,,Sussex County,1,0,0,0,,,,
New Mexico,Total,,,,,,,,,
,Cities,,,,,,,,,
,,Albuquerque,,6,,4,"558,874",,,
,Universities and Colleges,,,,,,,,,
,,University of New Mexico,,,1,,"28,592",,,
,Metropolitan Counties,,,,,,,,,
,,Bernalillo,,1,,1,,,,
New York,Total,,,,,,,,,
,Cities,,,,,,,,,
,,Albany,1,2,0,0,"98,595",,,
,,Buffalo,2,5,4,4,"258,419",,,
,,Carthage Village,0,0,1,0,"3,710",,,
,,Cheektowaga Town,0,1,3,0,"78,209",,,
,,Clarkstown Town,0,0,0,1,"81,435",,,
,,Cortland,0,2,0,0,"19,032",,,
,,Crawford Town,2,0,0,0,"9,240",,,
,,Dobbs Ferry Village,0,0,1,0,"11,102",,,
,,Fishkill Town,0,0,1,0,"21,502",,,
,,Freeport Village,0,0,0,1,"43,234",,,
,,Geddes Town,0,0,1,0,"10,436",,,
,,Geneseo Village,0,0,1,0,"7,914",,,
,,Greenburgh Town,1,0,0,0,"45,133",,,
,,Lake Placid Village,0,0,1,0,"2,460",,,
,,Manlius Town,0,0,0,1,"24,577",,,
,,Middletown,2,0,0,0,"27,700",,,
,,Monroe Village,0,0,2,0,"8,627",,,
,,Mount Vernon,1,0,0,0,"68,442",,,
,,New Rochelle,1,3,2,0,"80,030",,,
,,New York,60,68,107,72,"8,473,938",,,
,,Niagara Falls,0,1,0,0,"49,300",,,
,,Oneonta City,0,0,0,1,"13,961",,,
,,Orangetown Town,0,0,5,1,"37,677",,,
,,Poughkeepsie,0,1,0,0,"30,554",,,
,,Poughkeepsie Town,0,0,0,1,"43,599",,,
,,Rochester,1,2,0,0,"210,347",,,
,,Southold Town,0,0,1,0,"19,991",,,
