state,agencyType,agencyName,quarter1,quarter2,quarter3,quarter4,population
Alabama,Total,,,,,,
,Cities,,,,,,
,,Birmingham,3,2,2,2,"212,549"
,,Florence,0,0,1,0,"40,160"
,,Foley,0,1,0,0,"17,639"
,,Hoover,1,0,1,1,"85,601"
Alaska,Total,,,,,,
,Cities,,,,,,
,,Anchorage,1,0,2,1,"299,097"
,,Juneau,1,1,3,1,"32,964"
,,Wasilla,1,0,0,0,"9,585"
Arizona,Total, ,,,,,
,Cities,,,,,,
,,Apache Junction,1,0,1,0,"38,506"
,,Chandler,1,0,1,2,"265,922"
,,Gilbert,1,0,0,0,"255,899"
,,Glendale,0,1,0,0,"242,938"
,,Mesa,3,0,0,2,"478,277"
,,Phoenix2,34,39,45,56,"1,586,611"
,,Prescott Valley,1,1,,,"42,900"
,,Sahuarita,0,0,0,1,"25,792"
,,Scottsdale,0,,2,2,"240,885"
,,St. Johns,1,0,0,0,"3,482"
,,Tempe,1,0,0,0,"178,654"
,,Tucson,2,1,1,1,"533,663"
,,Williams,0,1,0,0,"3,140"
,,Yuma,1,1,2,0,"94,696"
,Universities and Colleges,,,,,,
,,Arizona State University: Main Campus,0,0,0,1,"90,906"
,,University of Arizona,0,2,,,"42,595"
,Metropolitan Counties,,,,,,
,,Maricopa,,0,3,0,
,,Pima,0,1,0,,
Arkansas,Total,,,,,,
,Cities,,,,,,
,,Fort Smith,2,0,0,2,"88,573"
,,Jacksonville,0,0,0,2,"28,684"
,,Little Rock,0,1,0,0,"198,800"
,Metropolitan Counties,,,,,,
,,Sebastian,0,1,0,2,
,Nonmetropolitan Counties,,,,,,
,,Sevier,0,0,2,0,
California,Total,,,,,,
,Cities,,,,,,
,,Adelanto,0,1,1,0,"33,479"
,,Alameda,0,1,0,2,"79,597"
,,Alhambra,0,0,0,1,"86,035"
,,Anaheim,1,0,0,0,"353,504"
,,Antioch,0,0,2,0,"112,090"
,,Arcata,0,0,1,1,"17,913"
,,Azusa,2,0,0,0,"50,393"
,,Bakersfield,0,3,2,3,"378,788"
,,Baldwin Park,1,0,0,0,"77,400"
,,Bellflower,1,0,0,0,"78,806"
,,Berkeley,5,3,2,3,"122,651"
,,Beverly Hills,0,0,1,0,"35,018"
,,Brea,0,1,0,0,"42,465"
,,Buena Park,0,0,2,1,"83,768"
,,Burbank,0,0,1,0,"105,720"
,,Calabasas,1,0,2,0,"24,492"
,,Camarillo,0,1,0,0,"68,072"
,,Campbell,0,1,0,0,"41,457"
,,Capitola,0,0,0,1,"10,241"
,,Central Marin,0,1,1,0,"35,265"
,,Cerritos,0,0,1,0,"50,159"
,,Chico,0,1,0,2,"91,122"
,,Chino,0,1,1,1,"87,081"
,,Chino Hills,1,0,0,0,"78,990"
,,Chula Vista,1,1,3,0,"270,175"
,,Citrus Heights,1,0,0,1,"87,811"
,,Claremont,1,0,1,7,"36,553"
,,Clayton,0,2,0,0,"12,057"
,,Clearlake,0,0,0,1,"15,165"
,,Clovis,0,0,1,0,"105,865"
,,Coalinga,1,0,0,0,"16,282"
,,Compton,0,0,1,0,"98,861"
,,Concord,1,0,0,2,"129,903"
,,Culver City,0,1,0,0,"39,880"
,,Cupertino,0,0,3,0,"60,948"
,,Danville,1,0,0,0,"44,897"
,,Davis,2,0,1,5,"68,087"
,,Desert Hot Springs,0,1,0,0,"28,573"
,,Downey,0,1,0,0,"114,704"
,,East Palo Alto,0,0,0,1,"29,957"
,,Eastvale,0,1,0,0,"60,115"
,,Elk Grove,1,0,0,0,"169,742"
,,El Segundo,1,0,1,0,"17,113"
,,Encinitas,0,0,0,1,"63,597"
,,Escondido,0,1,0,0,"152,897"
,,Fairfield,2,0,1,0,"114,521"
,,Farmersville,0,0,1,0,"10,812"
,,Folsom,0,1,0,0,"77,245"
,,Fort Bragg,0,2,1,0,"7,292"
,,Fremont,1,0,0,0,"235,881"
,,Fresno,3,3,4,3,"524,796"
,,Fullerton,1,0,0,1,"141,968"
,,Garden Grove,1,0,0,1,"176,230"
,,Glendale,0,1,0,1,"202,903"
,,Hanford,0,1,0,0,"55,973"
,,Hawaiian Gardens,0,1,0,0,"14,654"
,,Hawthorne,0,0,0,1,"89,299"
,,Hayward,0,0,1,1,"161,122"
,,Highland,0,0,1,0,"55,184"
,,Hollister,0,0,1,0,"37,953"
,,Huntington Beach,1,1,3,1,"204,071"
,,Huntington Park,1,0,0,0,"59,692"
,,Irvine,1,0,0,1,"266,663"
,,Jurupa Valley,0,1,0,0,"101,316"
,,Kingsburg,1,0,0,0,"11,905"
,,Laguna Beach,0,0,0,1,"23,486"
,,La Habra,0,1,0,0,"62,483"
,,Lake Elsinore,1,1,0,0,"63,907"
,,Lakewood,2,0,1,1,"81,921"
,,La Mesa,0,0,1,2,"60,681"
,,La Mirada,0,2,0,0,"49,715"
,,Lancaster,1,4,1,2,"161,963"
,,La Puente,1,0,0,0,"40,928"
,,Loma Linda,0,1,0,0,"24,190"
,,Long Beach,2,0,3,3,"476,476"
,,Los Angeles,55,56,52,64,"4,007,905"
,,Malibu,1,0,0,1,"13,030"
,,Mammoth Lakes,0,1,0,0,"7,891"
,,Manteca,1,1,3,0,"77,104"
,,Merced,0,0,1,1,"83,106"
,,Modesto,2,4,2,3,"212,880"
,,Montclair,0,1,0,1,"39,085"
,,Monterey,0,0,0,1,"28,506"
,,Mountain View,1,0,0,0,"81,726"
,,Murrieta,0,0,0,1,"111,043"
,,Napa,0,0,0,1,"81,115"
,,National City,1,0,0,0,"61,550"
,,Newark,0,1,0,0,"45,893"
,,Norco,1,0,0,1,"26,132"
,,Norwalk,0,0,1,0,"107,453"
,,Novato,0,0,0,2,"56,263"
,,Oakland,3,2,2,2,"424,998"
,,Oceanside,1,3,1,2,"177,340"
,,Orange,0,1,0,0,"141,841"
,,Oxnard,2,1,1,2,"209,048"
,,Pacific Grove,0,1,0,0,"15,795"
,,Palmdale,5,0,2,1,"159,441"
,,Palm Springs,1,2,0,0,"47,909"
,,Palo Alto,1,2,1,0,"67,317"
,,Paradise,0,1,0,0,"26,532"
,,Parlier,0,1,0,0,"15,262"
,,Pasadena,1,0,1,0,"143,288"
,,Perris,0,0,0,1,"76,260"
,,Petaluma,1,0,0,0,"60,933"
,,Placentia,0,1,0,0,"52,800"
,,Pomona,2,1,2,0,"154,109"
,,Poway,0,0,0,1,"50,606"
