agencyName,agencyType,state,recent_population,zeroCount,dnrCount,reportCount,zeroClass,dnrClass,reportClass,popClass
Alexandria,Cities,VIRGINIA,1625,27,0,1,6,0,0,3
Alexandria Bay Village,Cities,NEW YORK,1102,23,4,1,5,1,0,3
Alexis,Cities,Illinois,805,7,0,21,1,0,5,2
Alfalfa,Nonmetropolitan Counties,OKLAHOMA,No Data,27,0,1,6,0,0,-1
Alfred Village,Cities,NEW YORK,4039,23,0,5,5,0,1,3
Alger,Nonmetropolitan Counties,MICHIGAN,No Data,26,0,2,6,0,0,-1
Algoma,Cities,WISCONSIN,3079,26,0,2,6,0,0,3
Algona,Cities,IOWA,5453,27,0,1,6,0,0,3
Algonac,Cities,MICHIGAN,4107,7,0,21,1,0,5,3
Algonquin,Cities,Illinois,30673,16,0,12,4,0,3,4
Algood,Cities,TENNESSEE,3770,27,0,1,6,0,0,3
Alhambra,Cities,CALIFORNIA,86035,23,0,5,5,0,1,4
Alice,Cities,TEXAS,19464,27,0,1,6,0,0,4
Aliceville,Cities,ALABAMA,2423,4,0,24,1,0,6,3
Aliquippa,Cities,PENNSYLVANIA,9150,25,2,1,6,0,0,3
Aliso Viejo,Cities,CALIFORNIA,50604,24,0,4,6,0,1,4
Allamakee,Nonmetropolitan Counties,Iowa,No Data,19,0,9,4,0,2,-1
Allegan,Nonmetropolitan Counties,MICHIGAN,5088,24,0,4,6,0,1,3
Allegany,Metropolitan Counties,MARYLAND,No Data,26,1,1,6,0,1,-1
Allegany County Bureau of Police,Metropolitan Counties,MARYLAND,No Data,4,0,24,1,0,6,-1
Allegany Village,Cities,NEW YORK,1726,26,1,1,6,0,6,3
Alleghany,Nonmetropolitan Counties,NORTH CAROLINA,No Data,27,0,1,6,0,0,-1
Allegheny,Metropolitan Counties,PENNSYLVANIA,No Data,23,3,2,5,0,0,-1
Allegheny County Police Department,Metropolitan Counties,PENNSYLVANIA,No Data,24,3,1,6,0,0,-1
"Allegheny Township, Blair County",Cities,PENNSYLVANIA,6652,23,4,1,5,1,0,3
"Allegheny Township, Westmoreland County",Cities,PENNSYLVANIA,8213,26,1,1,6,0,0,3
Allen,Cities,TEXAS,101020,27,0,1,6,0,0,5
Allen Park,Cities,MICHIGAN,27284,26,0,2,6,0,0,4
Allendale,Cities,NEW JERSEY,3064,27,0,1,6,0,0,3
Allenhurst,Cities,NEW JERSEY,490,24,1,3,6,0,0,2
Allentown,Cities,NEW JERSEY,120615,26,1,1,6,0,0,5
Alliance,Cities,OHIO,22012,27,0,1,6,0,0,4
Alma,Cities,ARKANSAS,742,27,0,1,6,0,0,2
Almont,Cities,MICHIGAN,2734,27,0,1,6,0,0,3
Alorton,Cities,ILLINOIS,2500,4,0,24,1,0,6,3
Alpena,Cities,MICHIGAN,No Data,27,0,1,6,0,0,-1
Alpha,Cities,NEW JERSEY,2291,27,0,1,6,0,0,3
Alpharetta,Cities,GEORGIA,64943,26,1,1,6,0,0,4
Alpine,Nonmetropolitan Counties,CALIFORNIA,5939,27,0,1,6,0,0,3
Alsip,Cities,Illinois,19357,23,0,5,5,0,1,4
Alstead,Cities,NEW HAMPSHIRE,1911,27,0,1,6,0,0,3
Altamont,Cities,ILLINOIS,1041,27,0,1,6,0,0,3
Altamont Village,Cities,NEW YORK,1721,27,0,1,6,0,0,3
Altamonte Springs,Cities,FLORIDA,42301,20,0,8,5,0,2,4
Altavista,Cities,VIRGINIA,3478,26,0,2,6,0,0,3
Altha,Cities,FLORIDA,538,20,0,8,5,0,2,2
Alto,Cities,GEORGIA,1163,14,6,8,3,1,2,3
Alton,Cities,ILLINOIS,16137,27,0,1,6,0,0,4
Altoona,Cities,IOWA,7446,27,0,1,6,0,0,3
Alturas,Cities,CALIFORNIA,2549,27,0,1,6,0,0,3
Altus,Cities,OKLAHOMA,19093,26,0,2,6,0,0,4
Alva,Cities,OKLAHOMA,5227,27,0,1,6,0,0,3
Alvarado,Cities,TEXAS,4058,27,0,1,6,0,0,3
Alvin,Cities,TEXAS,26100,25,1,2,6,0,0,4
Amador,Nonmetropolitan Counties,CALIFORNIA,No Data,21,0,7,5,0,1,-1
Amarillo,Cities,TEXAS,200141,26,0,2,6,0,0,5
Amberley Village,Cities,OHIO,3602,13,7,8,3,1,2,3
Ambler,Cities,PENNSYLVANIA,6517,25,1,2,6,0,0,3
Amboy,Cities,ILLINOIS,2330,27,0,1,6,0,0,3
Ambridge,Cities,PENNSYLVANIA,6822,26,1,1,6,0,0,3
Amelia,Metropolitan Counties,VIRGINIA,4957,27,0,1,6,0,0,3
American Canyon,Cities,CALIFORNIA,20068,16,0,12,4,0,3,4
American Canyon ,Cities,California,20746,11,0,17,2,0,4,4
American Falls,Cities,IDAHO,4291,27,0,1,6,0,0,3
American Fork/Cedar Hills,Cities,UTAH,39028,27,0,1,6,0,0,4
American Township,Cities,OHIO,12254,27,0,1,6,0,0,4
Americus,Cities,GEORGIA,882,21,6,1,5,1,0,2
Amery,Cities,WISCONSIN,2816,27,0,1,6,0,0,3
Ames,Cities,IOWA,66333,24,0,4,6,0,1,4
Amesbury,Cities,MASSACHUSETTS,17563,22,0,6,5,0,1,4
Amherst,Cities,MASSACHUSETTS,2216,27,0,1,6,0,0,3
Amherst Town,Cities,NEW YORK,120436,19,0,9,4,0,2,5
Amite,Cities,LOUISIANA,4179,5,3,20,1,0,5,3
Amity,Cities,OREGON,1646,27,0,1,6,0,0,3
Amity Town and Belmont Village,Cities,NEW YORK,2210,27,0,1,6,0,0,3
Amity Township,Cities,PENNSYLVANIA,12884,26,1,1,6,0,0,4
Amityville Village,Cities,NEW YORK,9477,27,0,1,6,0,0,3
Amory,Cities,MISSISSIPPI,7167,13,3,12,3,0,3,3
Amsterdam,Cities,NEW YORK,17891,24,3,1,6,0,0,4
Anacortes,Cities,WASHINGTON,16532,24,0,4,6,0,1,4
Anadarko,Cities,OKLAHOMA,6702,26,0,2,6,0,0,3
Anaheim,Cities,CALIFORNIA,353504,21,0,7,5,0,1,5
Anamosa,Cities,IOWA,5454,27,0,1,6,0,0,3
Anchorage,Cities,ALASKA,2434,25,0,3,6,0,0,3
Andale,Cities,KANSAS,1004,25,2,1,6,0,0,3
Andalusia,Cities,ALABAMA,8946,4,0,24,1,0,6,3
Anderson,Cities,SOUTH CAROLINA,No Data,27,0,1,6,0,0,-1
Andover,Cities,KANSAS,35558,22,3,3,5,0,0,4
Andover Township,Cities,NEW JERSEY,5979,26,1,1,6,0,0,3
Andover Village,Cities,New York,1001,8,3,17,2,0,4,3
Andrew,Metropolitan Counties,MISSOURI,No Data,23,0,5,5,0,1,-1
Andrews,Cities,SOUTH CAROLINA,No Data,27,0,1,6,0,0,-1
Androscoggin,Metropolitan Counties,MAINE,No Data,24,0,4,6,0,1,-1
Angel Fire,Cities,NEW MEXICO,1206,7,5,16,1,1,4,3
Angelica Village,Cities,NEW YORK,832,19,0,9,4,0,2,2
Angelina,Nonmetropolitan Counties,TEXAS,No Data,25,2,1,6,0,0,-1
Angels Camp,Cities,California,3755,3,0,25,0,0,6,3
Angier,Cities,NORTH CAROLINA,5097,27,0,1,6,0,0,3
Angleton,Cities,TEXAS,19546,27,0,1,6,0,0,4
Angola,Cities,Indiana,8661,4,0,24,1,0,6,3
Ankeny,Cities,IOWA,59236,27,0,1,6,0,0,4
Ann Arbor,Cities,MICHIGAN,117688,10,0,18,2,0,4,5
Anna,Cities,TEXAS,12233,27,0,1,6,0,0,4
Annandale,Cities,Minnesota,3317,18,5,5,4,1,0,3
Annapolis,Cities,MARYLAND,343,23,3,2,5,0,0,2
Annawan,Cities,Illinois,854,7,0,21,1,0,5,2
Anne Arundel,Metropolitan Counties,MARYLAND,No Data,27,0,1,6,0,0,-1
Anne Arundel County Police Department,Metropolitan Counties,MARYLAND,No Data,22,0,6,5,0,1,-1
Anniston,Cities,ALABAMA,23703,4,0,24,1,0,6,4
Annville Township,Cities,PENNSYLVANIA,4835,26,1,1,6,0,6,3
Anoka,Cities,Minnesota,17389,18,5,5,4,1,6,4
Anson,Metropolitan Counties,NORTH CAROLINA,2315,27,0,1,6,0,0,3
Ansonia,Cities,CONNECTICUT,18776,27,0,1,6,0,0,4
Ansted,Cities,West Virginia,1393,4,4,20,1,0,5,3
Antelope,Nonmetropolitan Counties,Nebraska,No Data,11,0,17,2,0,4,-1
Anthony,Cities,KANSAS,5618,27,0,1,6,0,0,3
Antigo,Cities,WISCONSIN,7801,27,0,1,6,0,0,3
Antioch,Cities,CALIFORNIA,14302,27,0,1,6,0,0,4
Antlers,Cities,OKLAHOMA,2336,27,0,1,6,0,0,3
Antrim,Nonmetropolitan Counties,MICHIGAN,2662,27,0,1,6,0,0,3
Apache,Cities,OKLAHOMA,1426,27,0,1,6,0,0,3
Apache Junction,Cities,ARIZONA,38506,14,1,13,3,0,3,4
Apalachicola,Cities,FLORIDA,2266,20,0,8,5,0,2,3
Apex,Cities,NORTH CAROLINA,47324,24,0,4,6,0,1,4
Apollo,Cities,PENNSYLVANIA,1577,19,8,1,4,2,0,3
Apopka,Cities,FLORIDA,46572,19,0,9,4,0,2,4
Appalachia,Cities,VIRGINIA,1655,27,0,1,6,0,0,3
Appanoose,Nonmetropolitan Counties,IOWA,No Data,27,0,1,6,0,0,-1
Apple Creek,Cities,Ohio,1186,13,2,13,3,0,0,3
Apple Valley,Cities,CALIFORNIA,51648,22,3,3,5,0,0,4
Appleton,Cities,WISCONSIN,1328,20,3,5,5,0,1,3
Appleton City,Cities,MISSOURI,1085,23,4,1,5,1,0,3
Appling,Nonmetropolitan Counties,Georgia,No Data,10,5,13,2,1,3,-1
Appomattox,Metropolitan Counties,VIRGINIA,No Data,24,0,4,6,0,1,-1
Aquinnah,Cities,MASSACHUSETTS,331,23,4,1,5,1,0,2
Arab,Cities,ALABAMA,8438,4,0,24,1,0,6,3
Aragon,Cities,GEORGIA,1241,16,3,9,4,0,2,3
Aransas,Metropolitan Counties,TEXAS,No Data,27,0,1,6,0,0,-1
Aransas Pass,Cities,TEXAS,8603,27,0,1,6,0,0,3
Arapahoe,Metropolitan Counties,COLORADO,No Data,11,0,17,2,0,4,-1
Arbyrd,Cities,MISSOURI,482,23,4,1,5,1,0,2
Arcade,Cities,GEORGIA,1801,26,1,1,6,0,0,3
Arcade Village,Cities,NEW YORK,1971,25,2,1,6,0,0,3
Arcadia,Cities,CALIFORNIA,3004,27,0,1,6,0,0,3
Arcanum,Cities,OHIO,2094,18,2,8,4,0,2,3
Arcata,Cities,CALIFORNIA,17913,21,0,7,5,0,1,4
Archbald,Cities,PENNSYLVANIA,6951,21,6,1,5,1,0,3
Archbold,Cities,OHIO,4342,8,3,17,2,0,4,3
Archdale,Cities,NORTH CAROLINA,11593,26,0,2,6,0,0,4
Archer,Metropolitan Counties,TEXAS,No Data,27,0,1,6,0,0,-1
Archer City,Cities,TEXAS,1737,15,0,13,3,0,3,3
Archie,Cities,MISSOURI,1205,27,0,1,6,0,0,3
Archuleta,Nonmetropolitan Counties,COLORADO,No Data,25,2,1,6,0,0,-1
Arcola,Cities,ILLINOIS,1679,27,0,1,6,0,0,3
Arden Hills,Cities,Minnesota,9956,12,4,12,3,1,0,3
Ardmore,Cities,ALABAMA,1213,26,0,2,6,0,0,3
Ardsley Village,Cities,NEW YORK,4674,26,1,1,6,0,0,3
Arenac,Nonmetropolitan Counties,MICHIGAN,No Data,27,0,1,6,0,0,-1
Argentine Township,Cities,Michigan,6591,23,0,5,5,0,1,3
Argo,Cities,ALABAMA,2005,4,0,24,1,0,6,3
Argonia,Cities,KANSAS,485,20,3,5,5,0,1,2
Argyle,Cities,TEXAS,4047,27,0,1,6,0,0,3
Ariton,Cities,ALABAMA,750,4,0,24,1,0,6,2
Arkadelphia,Cities,ARKANSAS,10755,27,0,1,6,0,0,4
Arkansas,Nonmetropolitan Counties,ARKANSAS,No Data,27,0,1,6,0,0,-1
Arkansas City,Cities,ARKANSAS,12085,27,0,1,6,0,0,4
Arkoma,Cities,OKLAHOMA,1912,27,0,1,6,0,0,3
Arley,Cities,ALABAMA,320,4,0,24,1,0,6,2
Arlington,Cities,MASSACHUSETTS,1392,25,2,1,6,0,0,3
Arlington County Police Department,Metropolitan Counties,VIRGINIA,No Data,13,0,15,3,0,3,-1
Arlington Heights,Cities,ILLINOIS,76077,23,3,2,5,0,0,4
Arma,Cities,KANSAS,1445,27,0,1,6,0,0,3
Armada,Cities,MICHIGAN,1747,27,0,1,6,0,0,3
Armagh Township,Cities,Pennsylvania,3813,14,1,13,3,0,3,3
Armington,Cities,ILLINOIS,344,12,4,12,3,1,3,2
Armour,Cities,South Dakota,700,8,0,20,2,0,5,2
Armstrong,Metropolitan Counties,TEXAS,No Data,27,0,1,6,0,0,-1
Arnegard,Cities,North Dakota,129,7,0,21,1,0,5,2
Arnold,Cities,MISSOURI,21461,25,2,1,6,0,0,4
Arnolds Park,Cities,Iowa,1255,2,1,25,0,0,6,3
Aroostook,Nonmetropolitan Counties,MAINE,No Data,27,0,1,6,0,0,-1
Arp,Cities,TEXAS,1001,27,0,1,6,0,0,3
Arroyo Grande,Cities,CALIFORNIA,18280,26,0,2,6,0,0,4
Artesia,Cities,CALIFORNIA,17049,23,3,2,5,0,0,4
Arthur,Cities,ILLINOIS,2277,26,1,1,6,0,0,3
Arvada,Cities,COLORADO,117186,21,0,7,5,0,1,5
Arvin,Cities,CALIFORNIA,21195,25,0,3,6,0,0,4
Asbury Park,Cities,NEW JERSEY,15757,17,1,10,4,0,2,4
Ascension,Metropolitan Counties,LOUISIANA,No Data,20,3,5,5,0,1,-1
Ash Flat,Cities,ARKANSAS,1060,27,0,1,6,0,0,3
Ash Grove,Cities,MISSOURI,1465,27,0,1,6,0,0,3
Asharoken Village,Cities,NEW YORK,653,27,0,1,6,0,0,2
Ashburn,Cities,GEORGIA,3757,16,3,9,4,0,2,3
Ashburnham,Cities,MASSACHUSETTS,6206,27,0,1,6,0,0,3
Ashby,Cities,MASSACHUSETTS,3190,17,3,8,4,0,2,3
Ashdown,Cities,Arkansas,4434,23,0,5,5,0,1,3
Ashe,Nonmetropolitan Counties,NORTH CAROLINA,No Data,27,0,1,6,0,0,-1
Asheboro,Cities,NORTH CAROLINA,26230,25,0,3,6,0,0,4
Asheville,Cities,NORTH CAROLINA,89546,7,0,21,1,0,5,4
Ashfield,Cities,Massachusetts,1748,0,3,25,0,0,6,3
Ashford,Cities,ALABAMA,2164,16,0,12,4,0,3,3
Ashland,Cities,KENTUCKY,No Data,27,0,1,6,0,0,-1
Ashland City,Cities,TENNESSEE,4650,26,0,2,6,0,0,3
Ashley,Nonmetropolitan Counties,ARKANSAS,2714,24,3,1,6,0,0,3
Ashtabula,Nonmetropolitan Counties,Ohio,No Data,18,1,9,4,0,2,-1
Ashton,Cities,ILLINOIS,906,17,2,9,4,0,2,2
Ashville,Cities,ALABAMA,217,22,5,1,5,1,0,2
Ashwaubenon,Cities,WISCONSIN,17219,19,0,9,4,0,2,4
Asotin,Cities,WASHINGTON,1299,27,0,1,6,0,0,3
Aspen,Cities,COLORADO,6926,20,0,8,5,0,2,3
Aspinwall,Cities,PENNSYLVANIA,2756,26,1,1,6,0,2,3
Assumption,Nonmetropolitan Counties,Louisiana,No Data,19,4,5,4,1,1,-1
Astatula,Cities,FLORIDA,1844,20,0,8,5,0,2,3
Aston Township,Cities,PENNSYLVANIA,16828,26,1,1,6,0,2,4
Astoria,Cities,ILLINOIS,9655,6,1,21,1,0,5,3
Atascadero,Cities,CALIFORNIA,30108,24,0,4,6,0,1,4
Atascosa,Metropolitan Counties,TEXAS,No Data,24,3,1,6,0,0,-1
Atchison,Cities,KANSAS,No Data,27,0,1,6,0,0,-1
Atglen,Cities,PENNSYLVANIA,1422,8,0,20,2,0,5,3
Athena,Cities,OREGON,1134,18,2,8,4,0,2,3
Athens,Cities,OHIO,1094,27,0,1,6,0,0,3
Athens Township,Cities,PENNSYLVANIA,5058,19,8,1,4,2,0,3
Athens Village,Cities,NEW YORK,1607,15,9,4,3,2,1,3
Athens-Clarke County,Cities,GEORGIA,123934,12,5,11,3,1,2,5
Atherton,Cities,CALIFORNIA,7218,26,0,2,6,0,0,3
Athol,Cities,MASSACHUSETTS,11612,27,0,1,6,0,0,4
Atkins,Cities,ARKANSAS,3056,27,0,1,6,0,0,3
Atkinson,Nonmetropolitan Counties,Georgia,6817,20,3,5,5,0,1,3
Atlanta,Cities,GEORGIA,5594,27,0,1,6,0,0,3
Atlantic,Cities,IOWA,6781,25,1,2,6,0,0,3
Atlantic Beach,Cities,FLORIDA,394,27,0,1,6,0,0,2
Atlantic City,Cities,NEW JERSEY,39202,21,0,7,5,0,1,4
Atlantic Highlands,Cities,NEW JERSEY,4297,24,1,3,6,0,0,3
Atlantis,Cities,FLORIDA,2069,20,0,8,5,0,2,3
Atmore,Cities,ALABAMA,10182,4,0,24,1,0,6,4
Atoka,Cities,OKLAHOMA,9176,27,0,1,6,0,0,3
Attalla,Cities,ALABAMA,6621,4,0,24,1,0,6,3
Attapulgus,Cities,GEORGIA,434,19,1,8,4,0,2,2
Attica,Cities,KANSAS,584,27,0,1,6,0,0,2
Attica Village,Cities,NEW YORK,2457,24,3,1,6,0,0,3
Attleboro,Cities,MASSACHUSETTS,44225,20,0,8,5,0,2,4
Atwater,Cities,CALIFORNIA,1122,26,0,2,6,0,0,3
Atwood,Cities,ILLINOIS,1187,27,0,1,6,0,0,3
Au Gres,Cities,Michigan,853,5,2,21,1,0,5,2
Au Gres-Sims,Cities,MICHIGAN,1982,7,1,20,1,0,5,3
Aubrey,Cities,Texas,3527,23,0,5,5,0,1,3
Auburn,Cities,NEW YORK,5368,25,2,1,6,0,0,3
Auburn Hills,Cities,MICHIGAN,22933,18,0,10,4,0,2,4
Auburndale,Cities,FLORIDA,14447,20,0,8,5,0,2,4
Audrain,Nonmetropolitan Counties,MISSOURI,No Data,26,1,1,6,0,2,-1
Audubon,Cities,IOWA,8669,27,0,1,6,0,0,3
Audubon Park,Cities,KENTUCKY,1004,27,0,1,6,0,0,3
Auglaize,Nonmetropolitan Counties,OHIO,No Data,25,0,3,6,0,0,-1
Augusta,Cities,MAINE,892,27,0,1,6,0,0,2
Augusta-Richmond,Metropolitan Counties,GEORGIA,No Data,17,3,8,4,0,2,-1
Aulander,Cities,NORTH CAROLINA,823,27,0,1,6,0,0,2
Ault,Cities,COLORADO,1642,27,0,1,6,0,0,3
Aumsville,Cities,OREGON,4101,27,0,1,6,0,0,3
Aurora,Cities,COLORADO,1032,25,2,1,6,0,0,3
Austell,Cities,GEORGIA,7204,9,6,13,2,1,3,3
Austin,Cities,TEXAS,No Data,26,1,1,6,0,3,-1
Austintown,Cities,OHIO,35680,22,0,6,5,0,1,4
Autauga,Metropolitan Counties,ALABAMA,No Data,3,1,24,0,0,6,-1
Autaugaville,Cities,ALABAMA,891,4,0,24,1,0,6,2
Auxvasse,Cities,MISSOURI,985,27,0,1,6,0,0,2
Ava,Cities,MISSOURI,2924,27,0,1,6,0,0,3
Avalon,Cities,NEW JERSEY,4630,23,4,1,5,1,0,3
Avenal,Cities,CALIFORNIA,12941,27,0,1,6,0,0,4
Aventura,Cities,FLORIDA,37537,19,0,9,4,0,2,4
Avery,Nonmetropolitan Counties,NORTH CAROLINA,No Data,27,0,1,6,0,0,-1
Avis,Cities,Pennsylvania,1513,22,1,5,5,0,1,3
Aviston,Cities,ILLINOIS,2108,27,0,1,6,0,0,3
Avoca,Cities,PENNSYLVANIA,625,27,0,1,6,0,0,2
Avon,Cities,COLORADO,567,27,0,1,6,0,0,2
Avon Lake,Cities,Ohio,23625,3,0,25,0,0,6,4
Avon Park,Cities,FLORIDA,8829,20,0,8,5,0,2,3
Avon Village,Cities,NEW YORK,3308,19,0,9,4,0,2,3
Avon-by-the-Sea,Cities,NEW JERSEY,1774,26,1,1,6,0,2,3
Avondale,Cities,ARIZONA,1426,22,3,3,5,0,2,3
Avondale Estates,Cities,GEORGIA,3175,20,3,5,5,0,1,3
Avonmore Boro,Cities,PENNSYLVANIA,976,26,1,1,6,0,1,2
Avoyelles,Nonmetropolitan Counties,Louisiana,No Data,1,5,22,0,1,5,-1
Ayden,Cities,NORTH CAROLINA,5078,27,0,1,6,0,0,3
Ayer,Cities,MASSACHUSETTS,8078,27,0,1,6,0,0,3
Aynor,Cities,SOUTH CAROLINA,689,27,0,1,6,0,0,2
Azle,Cities,TEXAS,11854,27,0,1,6,0,0,4
Aztec,Cities,NEW MEXICO,6839,6,2,20,1,0,5,3
Azusa,Cities,CALIFORNIA,50393,14,0,14,3,0,5,4
Babbitt,Cities,Minnesota,1528,11,0,17,2,0,4,3
Baca,Nonmetropolitan Counties,COLORADO,No Data,27,0,1,6,0,0,-1
Bad Axe,Cities,MICHIGAN,2989,27,0,1,6,0,0,3
Baden,Cities,PENNSYLVANIA,4018,21,6,1,5,1,0,3
Badin,Cities,NORTH CAROLINA,1983,27,0,1,6,0,0,3
Bailey,Cities,NORTH CAROLINA,No Data,25,2,1,6,0,0,-1
Baileyton,Cities,TENNESSEE,431,27,0,1,6,0,0,2
Baileyville,Cities,MAINE,1444,25,0,3,6,0,0,3
Bainbridge,Cities,Georgia,12473,7,0,21,1,0,5,4
Bainbridge Island,Cities,WASHINGTON,23998,24,0,4,6,0,1,4
Bainbridge Township,Cities,OHIO,11566,22,2,4,5,0,1,4
Bainbridge Village,Cities,NEW YORK,1320,18,1,9,4,0,2,3
Baird,Cities,TEXAS,1481,27,0,1,6,0,0,3
Baker,Metropolitan Counties,FLORIDA,2063,27,0,1,6,0,0,3
Bakersfield,Cities,CALIFORNIA,378788,11,0,17,2,0,4,5
Bakersville,Cities,NORTH CAROLINA,450,27,0,1,6,0,0,2
Bal Harbour Village,Cities,FLORIDA,2636,20,0,8,5,0,2,3
Balch Springs,Cities,TEXAS,25474,27,0,1,6,0,0,4
Balcones Heights,Cities,TEXAS,3366,27,0,1,6,0,0,3
Bald Head Island,Cities,NORTH CAROLINA,174,27,0,1,6,0,0,2
