Year,State,Agency type,Agency name,"1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",Population2
2012,Alabama,Total,,,,,,
,,Cities,,,,,,
,,,Hoover,2,3,1,0,82332
,Alaska,Total,,,,,,
,,Cities,,,,,,
,,,Anchorage,0,4,1,1,299143
,Arizona,Total,,,,,,
,,Cities,,,,,,
,,,Apache Junction,0,0,1,0,36986
,,,Coolidge,0,,0,1,12206
,,,Flagstaff,0,2,0,3,66633
,,,Gilbert,0,1,0,1,214264
,,,Glendale,1,,4,3,232997
,,,Maricopa,2,1,0,0,44881
,,,Mesa,,,0,2,451391
,,,Paradise Valley,1,,0,0,13177
,,,Phoenix,47,,39,35,1485509
,,,Prescott Valley,1,,0,0,39407
,,,Scottsdale,,,1,2,223432
,,,Show Low,0,0,1,0,10773
,,,Tempe,0,,3,2,166061
,,,Tucson,,,4,6,531535
,,,Willcox,1,0,0,0,3837
,,,Yuma,1,,1,0,95568
,,Universities and Colleges,,,,,,
,,,"Arizona State University, Main Campus",0,0,2,0,72254
,,,University of Arizona,0,1,1,0,39236
,,Metropolitan Counties,,,,,,
,,,Maricopa,1,,1,0,
,,,Mohave,0,0,1,0,
,,,Pima,,1,,0,
,,Other Agencies,,,,,,
,,,Tucson Airport Authority,1,,0,0,
,Arkansas,Total,,,,,,
,,Cities,,,,,,
,,,Benton,0,0,1,0,31486
,,,Bentonville,2,0,0,0,36433
,,,Bryant,0,0,0,1,17129
,,,Fort Smith,0,0,1,0,87483
,,,Jonesboro,0,1,0,0,68807
,,,McGehee,1,0,0,0,4157
,,,Newport,0,1,0,0,7862
,,,Ola,1,0,0,0,1276
,,,Paragould,1,0,0,0,26602
,,,Pine Bluff,0,0,2,0,48522
,,,Rogers,1,0,0,0,57757
,,,Sherwood,5,2,1,1,29914
,,,Springdale,2,0,0,2,71668
,,Universities and Colleges,,,,,,
,,,University of Arkansas:,,,,,
,,,Fayetteville,0,0,0,1,23199
,,,Little Rock,0,0,0,1,13068
,,Metropolitan Counties,,,,,,
,,,Pulaski,0,0,0,1,
,,Nonmetropolitan Counties,,,,,,
,,,Independence,1,0,0,0,
,California,Total,,,,,,
,,Cities,,,,,,
,,,Adelanto,0,0,1,0,32520
,,,Agoura Hills,0,1,3,0,20667
,,,Aliso Viejo,0,0,1,0,48999
,,,Anaheim,0,0,0,1,344526
,,,Antioch,0,2,1,1,105009
,,,Apple Valley,0,0,0,2,70823
,,,Arcata,0,1,0,0,17408
,,,Atascadero,0,1,0,0,28825
,,,Azusa,1,0,1,1,47111
,,,Bakersfield,0,0,3,1,355696
,,,Bellflower,0,0,0,1,77886
,,,Benicia,1,0,0,0,27459
,,,Berkeley,1,1,5,1,114961
,,,Beverly Hills,0,2,2,1,34677
,,,Brentwood,0,1,0,0,52811
,,,Buena Park,0,2,1,0,82505
,,,Burbank,2,5,1,1,105057
,,,Calabasas,0,1,1,0,23442
,,,Calimesa,0,0,0,2,8136
,,,Camarillo,0,0,2,2,66506
,,,Campbell,1,0,0,0,40339
,,,Capitola,0,0,1,0,10085
,,,Carson,0,2,1,0,93233
,,,Cerritos,0,0,0,1,49856
,,,Chico,2,0,3,0,87090
,,,Chino,0,1,1,1,79792
,,,Chino Hills,0,0,1,0,76632
,,,Chula Vista,3,1,0,0,249830
,,,Citrus Heights,0,0,0,1,85112
,,,Claremont,0,1,1,0,35469
,,,Clearlake,2,0,2,0,15311
,,,Clovis,1,0,0,1,97828
,,,Colton,0,0,2,0,53431
,,,Compton,0,0,0,1,98057
,,,Concord,0,1,1,0,125205
,,,Corona,2,1,0,0,157342
,,,Coronado,1,0,0,0,19345
,,,Covina,2,2,0,0,48588
,,,Cudahy,1,0,0,0,24201
,,,Cupertino,0,1,1,2,59769
,,,Cypress,1,0,0,0,48976
,,,Daly City,0,1,0,0,103311
,,,Dana Point,0,0,1,0,34172
,,,Davis,1,2,0,2,66628
,,,Diamond Bar,1,0,0,0,56470
,,,Downey,0,1,0,0,113628
,,,Eastvale,0,1,3,0,55439
,,,El Cajon,0,0,0,1,101864
,,,El Monte,2,1,0,2,115356
,,,Encinitas,0,0,1,0,60960
,,,Escondido,6,0,2,2,147386
,,,Eureka,1,0,1,1,27469
,,,Fountain Valley,1,0,0,0,56674
,,,Fowler,1,0,0,0,5698
,,,Fresno,2,2,2,2,506011
,,,Fullerton,0,0,0,1,138455
,,,Gardena,0,1,0,0,59802
,,,Garden Grove,1,1,0,0,175079
,,,Gilroy,1,0,0,0,50042
,,,Glendale,0,0,0,1,194902
,,,Greenfield,1,0,0,0,16765
,,,Hanford,0,0,0,1,54787
,,,Hawaiian Gardens,1,0,0,1,14493
,,,Hawthorne,1,0,1,0,85692
,,,Hayward,1,1,2,0,147424
,,,Hemet,1,0,1,0,81213
,,,Hercules,0,1,0,0,24682
,,,Hermosa Beach,0,0,1,0,19830
,,,Hesperia,0,1,0,0,92383
,,,Highland,0,0,1,0,54403
,,,Hughson,0,0,0,1,6754
,,,Huntington Beach,3,0,2,5,194677
,,,Inglewood,0,0,1,0,111488
,,,Irvine,2,0,0,1,217528
,,,Laguna Beach,0,0,1,0,23283
,,,Laguna Hills,1,0,0,0,31090
,,,La Habra,0,0,1,0,61731
,,,Lake Elsinore,1,0,0,0,53912
,,,Lake Forest,0,0,1,0,79166
,,,Lakewood,1,0,2,0,81382
,,,La Mesa,1,0,1,0,58444
,,,La Mirada,1,0,0,0,49312
,,,Lancaster,1,5,1,0,159155
,,,La Quinta,1,0,0,0,38690
,,,Lawndale,0,0,1,0,33312
,,,Lemon Grove,0,2,0,0,25932
,,,Livermore,2,1,0,0,82800
,,,Livingston,0,0,1,0,13394
,,,Lodi,1,1,1,0,63718
,,,Lomita,0,0,1,1,20591
,,,Long Beach,0,2,1,1,469893
,,,Los Angeles,23,33,34,34,3855122
,,,Los Gatos,0,0,0,1,30161
,,,Lynwood,1,0,0,0,70908
,,,Mammoth Lakes,0,1,0,0,8373
,,,Marysville,0,0,1,0,12254
,,,Merced,1,0,0,0,80976
,,,Milpitas,0,1,0,0,68433
,,,Modesto,2,1,0,2,204631
,,,Monrovia,0,0,2,0,37199
,,,Montclair,0,1,1,1,37556
,,,Monterey Park,0,1,1,0,61270
,,,Moreno Valley,0,0,0,1,199673
,,,Murrieta,0,0,1,1,106839
,,,Napa,0,0,1,0,78589
,,,National City,0,0,0,2,59920
,,,Newark,0,2,3,0,43539
,,,Newport Beach,0,1,4,2,87286
,,,Norwalk,0,2,0,0,107295
,,,Novato,1,0,1,0,52942
,,,Oakland,2,6,3,0,399487
,,,Oceanside,4,3,2,0,171141
,,,Ontario,1,0,0,1,167933
,,,Orange,0,0,0,1,139692
,,,Orland,1,0,0,0,7361
,,,Oxnard,0,1,1,2,201797
,,,Pacifica,0,1,2,0,38041
,,,Palmdale3,7,5,5,0,155294
,,,Palm Desert,1,0,0,0,50021
,,,Palm Springs,4,2,0,0,45996
,,,Palo Alto,0,3,0,1,66019
,,,Paradise,0,1,0,0,26492
,,,Paramount,2,1,0,1,54997
,,,Parlier,0,0,1,0,14828
,,,Pasadena,0,1,0,1,139382
,,,Paso Robles,0,0,1,0,30344
,,,Pico Rivera,0,0,0,1,63988
,,,Pinole,1,0,0,0,18864
,,,Pittsburg,0,1,0,0,64890
,,,Placerville,0,1,0,0,10479
,,,Pomona,0,2,1,1,151511
,,,Poway,0,1,0,0,48968
,,,Rancho Palos Verdes,1,0,0,0,42335
,,,Rancho Santa Margarita,0,0,0,1,49038
,,,Redding,2,3,6,3,90974
,,,Redlands,0,0,1,0,70399
,,,Redondo Beach,1,3,0,2,67856
,,,Redwood City,0,0,0,1,78466
,,,Reedley,1,0,0,0,24747
,,,Richmond,4,1,0,0,106357
,,,Riverside,5,2,3,2,313532
,,,Rosemead,0,2,0,0,54656
,,,Roseville,0,0,1,0,122896
,,,Sacramento,4,5,7,0,476557
,,,San Anselmo,0,1,0,0,12584
,,,San Bernardino,0,1,0,0,214987
,,,San Clemente,0,1,0,0,65089
,,,San Diego,10,6,8,10,1338477
,,,San Dimas,1,0,0,0,33923
,,,San Francisco,8,9,8,10,820363
,,,San Gabriel,1,0,0,0,40376
,,,San Jose,6,2,1,6,976459
,,,San Leandro,2,0,0,1,86869
,,,San Luis Obispo,2,2,0,0,45947
,,,San Marcos,1,0,0,1,85810
,,,San Mateo,1,0,0,0,99303
,,,San Rafael,0,1,0,2,58854
,,,Santa Ana,3,4,0,0,332482
,,,Santa Barbara,,0,0,1,89871
,,,Santa Clarita3,4,2,2,1,179248
,,,Santa Cruz,2,3,3,2,60902
,,,Santa Maria,0,1,0,0,101207
,,,Santa Monica,2,4,4,1,91215
,,,Santa Paula,0,0,0,1,29899
,,,Santa Rosa,1,0,0,0,170862
,,,Saratoga,0,0,0,1,30683
,,,Scotts Valley,0,0,0,1,11775
,,,Sierra Madre,1,0,0,0,11098
,,,Simi Valley,3,0,0,0,126686
,,,Sonora,0,1,0,0,4911
,,,South Gate,0,0,1,0,95966
,,,Stockton,0,1,0,1,299105
,,,Sunnyvale,1,1,1,0,143606
,,,Taft,1,0,0,1,9552
,,,Tehachapi,1,0,0,0,14766
,,,Temecula,3,1,0,0,103414
,,,Temple City,0,0,1,0,36148
,,,Thousand Oaks,0,2,0,1,129171
,,,Torrance,1,1,0,0,147851
,,,Tracy,1,0,0,1,85047
,,,Tulare,0,0,0,1,60848
,,,Turlock,0,0,0,1,69730
,,,Ukiah,0,1,0,0,16172
,,,Union City,1,0,0,0,71089
,,,Upland,0,0,1,0,75531
,,,Vallejo,1,0,0,1,117912
,,,Ventura,0,2,1,0,108511
,,,Victorville,0,0,1,1,118687
,,,Villa Park,0,0,0,1,5956
,,,Visalia,1,0,1,0,127604
,,,Vista,0,1,3,0,96087
,,,Walnut Creek,0,0,0,1,65816
,,,Watsonville,2,0,0,1,52064
,,,West Covina,0,1,3,2,107861
,,,West Hollywood,2,5,2,4,34971
,,,Yorba Linda,0,0,0,1,65820
,,,Yucaipa,0,1,0,0,52622
,,Universities and Colleges,,,,,,
,,,Allan Hancock College,0,1,0,2,10955
,,,"California State Polytechnic University, Pomona",0,0,0,1,21107
,,,California State University:,,,,,
,,,Dominguez Hills,0,0,0,1,14364
,,,Fullerton,1,1,1,0,36156
,,,Long Beach,0,0,0,1,34870
,,,Northridge,3,0,0,0,36911
,,,San Jose,0,0,0,2,30236
,,,San Marcos,0,0,0,2,10276
,,,Marin Community College,0,0,1,0,7075
,,,Riverside Community College,0,0,1,0,18395
,,,San Diego State University,0,1,0,0,30541
,,,Santa Rosa Junior College,0,1,1,0,24199
,,,University of California:,,,,,
,,,Berkeley,0,1,2,2,36137
,,,Irvine,0,0,1,0,27189
,,,Los Angeles,1,0,0,0,39271
,,,Riverside,1,1,0,0,20900
,,,San Diego,1,0,0,0,28593
,,,San Francisco,0,2,0,0,3054
,,Metropolitan Counties,,,,,,
,,,Alameda,0,0,0,1,
,,,Butte,1,0,0,0,
,,,Contra Costa,0,1,0,0,
,,,El Dorado,1,2,0,1,
,,,Kern,0,0,0,1,
,,,Los Angeles,9,5,11,2,
,,,Monterey,1,0,0,0,
,,,Orange,0,1,1,0,
,,,Riverside,0,0,1,2,
,,,Sacramento,5,7,4,4,
,,,San Bernardino,1,0,0,0,
,,,San Diego,3,9,7,5,
,,,Santa Clara,0,0,1,1,
,,,Santa Cruz,3,3,2,0,
,,,Solano,1,0,0,0,
,,,Sonoma,0,1,3,0,
,,,Stanislaus,0,1,1,0,
,,,Tulare,0,1,0,0,
,,,Ventura,2,0,1,1,
,,,Yuba,0,0,1,1,
,,Nonmetropolitan Counties,,,,,,
,,,Amador,2,0,0,0,
,,,Lake,1,2,0,0,
,,,Tuolumne,1,0,0,0,
,,Other Agencies,,,,,,
,,,"Department of Parks and Recreation, Northern Buttes",1,0,0,0,
,,,Los Angeles Transportation Services Bureau,1,4,3,3,
,,,Port of San Diego Harbor,0,0,0,1,
,,,Santa Clara Transit District,1,0,0,0,
,,,San Francisco Bay Area Rapid Transit:,,,,,
,,,Alameda County,0,1,2,0,
,,,Contra Costa County,0,2,0,0,
,,,San Francisco County,2,1,0,0,
,,,San Mateo County,0,0,1,0,
,,,Stockton Unified School District,1,0,0,0,
,Colorado,Total,,,,,,
,,Cities,,,,,,
,,,Aspen,0,0,1,0,6734
,,,Aurora,1,0,1,1,336952
,,,Berthoud,1,0,0,0,5278
,,,Boulder,0,1,0,0,100257
,,,Canon City,0,0,1,1,16727
,,,Centennial,1,1,1,0,104022
,,,Colorado Springs,0,5,7,6,432287
,,,Craig,0,0,5,0,9357
,,,Denver,11,8,13,13,628545
,,,Durango,0,1,1,0,17305
,,,Englewood,0,1,1,0,31358
,,,Fort Collins,0,0,1,1,148792
,,,Fountain,0,0,3,1,26841
,,,Frisco,0,1,0,0,2717
,,,Glendale,0,0,1,2,4493
,,,Glenwood Springs,0,0,1,2,9727
,,,Grand Junction,1,0,3,0,59516
,,,Greeley,3,1,2,0,96276
,,,Hotchkiss,,1,0,0,942
,,,Johnstown,0,0,1,0,10259
,,,Lafayette,0,1,3,4,25209
,,,La Junta,0,0,1,0,7187
,,,Lakewood,0,0,0,2,146404
,,,Littleton,2,0,0,0,43229
,,,Lone Tree,1,3,2,1,88925
,,,Longmont,4,3,0,0,69147
,,,Meeker,0,0,1,0,2554
,,,Monument,0,2,0,0,5744
,,,Parker,0,1,0,0,47004
,,,Pueblo,2,1,0,0,109065
,,,Sheridan,0,0,1,0,5871
,,,Steamboat Springs,0,1,0,0,12116
,,,Sterling,2,0,0,0,14929
,,,Telluride,0,1,0,0,2401
,,,Westminster,0,0,0,1,109461
,,,Wheat Ridge3,1,1,1,0,30886
,,,Windsor,0,1,1,0,19330
,,Universities and Colleges,,,,,,
,,,Auraria Higher Education Center4,0,0,0,1,
,,,"Colorado State University, Fort Collins",0,1,1,1,30467
,,,University of Northern Colorado,0,0,1,0,13038
,,Metropolitan Counties,,,,,,
,,,Adams,0,1,1,1,
,,,Arapahoe,2,0,4,0,
,,,Jefferson,3,0,2,1,
,,,Larimer,3,0,1,2,
,,,Mesa,1,1,0,0,
,,Nonmetropolitan Counties,,,,,,
,,,Bent,0,0,1,0,
,,,Chaffee,1,1,0,0,
,,,Kit Carson,0,0,1,0,
,,,Montrose,0,1,1,0,
,,,Summit,1,0,1,0,
,Connecticut,Total,,,,,,
,,Cities,,,,,,
,,,Berlin,0,1,0,0,19935
,,,Bloomfield,0,0,1,0,20557
,,,Bridgeport,0,2,1,3,146030
,,,Bristol,0,1,0,0,60688
,,,Canton,0,0,1,0,10328
,,,Coventry,1,1,0,0,12451
,,,Derby,0,0,0,1,12917
,,,Enfield,1,0,1,2,44806
,,,Glastonbury,0,0,1,0,34547
,,,Groton,0,0,1,0,10397
,,,Groton Town,2,0,1,0,29231
,,,Hamden,0,0,1,0,61032
,,,Hartford,2,1,1,0,125203
,,,Manchester,6,4,3,3,58444
,,,Middletown,1,2,2,0,47878
,,,Milford,0,1,,1,52817
,,,Naugatuck,0,0,0,1,31896
,,,New Britain,0,0,1,0,73458
,,,New Canaan,0,1,0,0,19992
,,,New Haven,5,1,4,2,129934
,,,Newington,0,1,0,0,30668
,,,New London,2,0,3,1,27643
,,,New Milford,0,1,0,0,28047
,,,Newtown,1,0,0,0,27904
,,,Norwalk,0,1,0,1,86693
,,,Norwich,3,2,0,0,40517
,,,Old Saybrook,0,0,1,1,10293
,,,Orange,1,0,0,0,13971
,,,Seymour,1,1,1,1,16558
,,,Shelton,0,1,0,0,40062
,,,Simsbury,0,1,0,0,23591
,,,Southington,1,2,1,2,43219
,,,Stamford,1,1,2,2,124201
,,,Stonington,0,0,2,1,18556
,,,Stratford,2,1,0,0,52041
,,,Torrington,1,1,3,3,36264
,,,Wallingford,2,1,4,0,45183
,,,Waterbury,3,0,3,0,110486
,,,West Hartford,1,0,1,1,63487
,,,West Haven,1,1,0,0,55626
,,,Windsor,0,0,0,1,29145
,,,Windsor Locks,0,1,0,0,12541
,,,Wolcott,0,1,0,0,16697
,,Universities and Colleges,,,,,,
,,,Central Connecticut State University,1,0,0,0,12521
,,,"University of Connecticut, Storrs, Avery Point, and Hartford4",0,0,2,0,
,,,Western Connecticut State University,3,1,0,0,6407
,,State Police Agencies,,,,,,
,,,Connecticut State Police,2,1,0,1,
,,Other Agencies,,,,,,
,,,Metropolitan Transportation Authority,0,0,1,0,
,Delaware,Total,,,,,,
,,Cities,,,,,,
,,,Milton,0,0,1,0,2650
,,,Wilmington,0,2,1,0,72088
,,Metropolitan Counties,,,,,,
,,,New Castle County Police Department,0,1,0,2,
,,State Police Agencies,,,,,,
,,,State Police:,,,,,
,,,New Castle County,1,0,0,0,
,,,Sussex County,1,0,1,0,
,District of Columbia,Total,,,,,,
,,Cities,,,,,,
,,,Washington,19,19,19,14,632323
,,Other Agencies,,,,,,
,,,Metro Transit Police,0,0,1,0,
,Florida,Total,,,,,,
,,Cities,,,,,,
,,,Apopka,1,0,0,0,43046
,,,Aventura,0,1,0,0,37110
,,,Bartow,0,0,1,0,17740
,,,Cape Coral,0,0,0,1,159625
,,,Casselberry,0,1,0,0,26747
,,,Clermont,1,0,0,0,29523
,,,Coral Gables,0,1,1,0,48435
,,,Deland,0,1,0,0,27410
,,,Fort Lauderdale,0,0,1,0,170827
,,,Fort Myers,1,0,0,0,64379
,,,Gainesville,1,0,3,1,127036
,,,Green Cove Springs,1,0,0,0,7053
,,,Homestead,1,1,1,0,62785
,,,Jacksonville,2,1,0,1,840660
,,,Jupiter,0,3,0,0,56674
,,,Key West,2,1,1,0,25249
,,,Lake Clarke Shores,1,0,0,0,3462
,,,Lakeland,1,0,0,0,99934
,,,Largo,0,0,0,2,78783
,,,Leesburg,0,0,0,1,20668
,,,Melbourne,3,5,1,0,77133
,,,Miami Gardens,0,0,1,1,111177
,,,Miramar,2,1,0,0,125998
,,,New Smyrna Beach,0,0,0,1,22788
,,,North Port,1,0,2,1,58568
,,,Oakland Park,0,1,0,0,42701
,,,Ocoee,0,0,0,1,36816
,,,Orange Park,1,0,0,0,8592
,,,Orlando,1,2,0,0,246513
,,,Ormond Beach,1,0,0,0,38674
,,,Oviedo,1,0,0,0,33985
,,,Palm Bay,1,0,0,0,104635
,,,Pensacola,1,2,1,0,52909
,,,Pinellas Park,0,0,0,1,49821
,,,Pompano Beach,0,0,3,0,103003
,,,Port St. Lucie,1,0,0,1,168416
,,,Sanford,0,0,0,1,54662
,,,Stuart,1,1,0,0,15932
,,,Tallahassee,0,1,0,0,185461
,,,Temple Terrace,0,0,0,1,25659
,,,Village of Pinecrest,1,0,0,0,18912
,,,Wellington,0,0,0,1,57943
,,,Wilton Manors,0,1,1,0,12005
,,,Winter Garden,0,0,0,3,35768
,,Universities and Colleges,,,,,,
,,,New College of Florida,0,0,0,1,845
,,,University of Central Florida,0,1,0,0,58465
,,,University of Florida,0,0,3,1,49589
,,,"University of South Florida, Tampa",0,0,2,0,39596
,,,University of West Florida,0,2,1,0,11982
,,Metropolitan Counties,,,,,,
,,,Alachua,0,1,1,1,
,,,Baker,1,0,0,0,
,,,Brevard,0,0,1,0,
,,,Clay,1,0,0,1,
,,,Collier,0,0,2,0,
,,,Escambia,0,0,0,1,
,,,Flagler,0,1,0,0,
,,,Hillsborough,1,0,0,1,
,,,Lake,0,2,0,1,
,,,Marion,1,0,0,0,
,,,Okaloosa,0,0,1,0,
,,,Orange,0,3,5,8,
,,,Osceola,1,0,1,1,
,,,Palm Beach,0,0,0,1,
,,,Pasco,0,0,0,1,
,,,Pinellas,0,1,0,0,
,,,Seminole,0,1,0,1,
,,,St. Johns,0,0,1,1,
,,,Volusia,1,1,0,0,
,,Nonmetropolitan Counties,,,,,,
,,,Putnam,0,0,0,1,
,Georgia,Total,,,,,,
,,Cities,,,,,,
,,,Columbus,2,,,,196178
,,Universities and Colleges,,,,,,
,,,Berry College,1,0,0,,2093
,,,University of Georgia,0,1,3,,34816
,,Metropolitan Counties,,,,,,
,,,Cobb County Police Department,0,3,6,,
