Year,State,Agency type,Agency name,"1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",Population2
, Nan, Nan,Del Rio,0,0,0,0,36302
, Nan, Nan,Denver City,0,0,0,0,4617
, Nan, Nan,Desoto,0,0,0,0,50795
, Nan, Nan,Devine,0,0,0,0,4452
, Nan, Nan,Diboll,0,0,0,0,4896
, Nan, Nan,Dickinson,0,0,0,0,19251
, Nan, Nan,Dilley,0,0,0,0,3988
, Nan, Nan,Dimmitt,0,0,0,0,4489
, Nan, Nan,Donna,0,0,0,0,16518
, Nan, Nan,Double Oak,0,0,0,0,3014
, Nan, Nan,Driscoll,0,0,0,0,757
, Nan, Nan,Dublin,0,0,0,0,3746
, Nan, Nan,Dumas,0,0,0,0,14946
, Nan, Nan,Duncanville,0,0,0,0,39899
, Nan, Nan,Eagle Lake,0,0,0,0,3684
, Nan, Nan,Eagle Pass,0,0,0,0,27208
, Nan, Nan,Early,0,0,0,0,2810
, Nan, Nan,Eastland,0,0,0,0,4029
, Nan, Nan,East Mountain,0,0,0,0,815
, Nan, Nan,Edcouch,0,0,0,0,3305
, Nan, Nan,Edgewood,0,0,0,0,1467
, Nan, Nan,Edinburg,0,0,0,0,80332
, Nan, Nan,El Campo,0,0,0,0,11786
, Nan, Nan,Electra,0,0,0,0,2814
, Nan, Nan,Elgin,0,0,0,0,8386
, Nan, Nan,Elsa,0,0,0,0,5918
, Nan, Nan,Ennis,0,0,0,0,19184
, Nan, Nan,Euless,0,0,0,0,53228
, Nan, Nan,Fairfield,0,0,0,0,2974
, Nan, Nan,Fair Oaks Ranch,0,0,0,0,6254
, Nan, Nan,Falfurrias,0,0,0,0,5055
, Nan, Nan,Farmers Branch,0,0,0,0,29637
, Nan, Nan,Farmersville,0,0,0,0,3478
, Nan, Nan,Farwell,0,0,0,0,1393
, Nan, Nan,Ferris,0,0,0,0,2524
, Nan, Nan,Flatonia,0,0,0,0,1415
, Nan, Nan,Florence,0,0,0,0,1209
, Nan, Nan,Floresville,0,0,0,0,6672
, Nan, Nan,Floydada,0,0,0,0,3058
, Nan, Nan,Forest Hill,0,0,0,0,12825
, Nan, Nan,Fort Stockton,0,0,0,0,8530
, Nan, Nan,Frankston,0,0,0,0,1243
, Nan, Nan,Fredericksburg,0,0,0,0,10802
, Nan, Nan,Freeport,0,0,0,0,12501
, Nan, Nan,Freer,0,0,0,0,2832
, Nan, Nan,Friendswood,0,0,0,0,36965
, Nan, Nan,Friona,0,0,0,0,4211
, Nan, Nan,Gainesville,0,0,0,0,16223
, Nan, Nan,Galena Park,0,0,0,0,11290
, Nan, Nan,Galveston,0,0,0,0,49170
, Nan, Nan,Ganado,0,0,0,0,2028
, Nan, Nan,Garden Ridge,0,0,0,0,3413
, Nan, Nan,Gatesville,0,0,0,0,16224
, Nan, Nan,Giddings,0,0,0,0,4970
, Nan, Nan,Gilmer,0,0,0,0,5030
, Nan, Nan,Glenn Heights,0,0,0,0,11683
, Nan, Nan,Godley,0,0,0,0,1036
, Nan, Nan,Gonzales,0,0,0,0,7381
, Nan, Nan,Gorman,0,0,0,0,1102
, Nan, Nan,Graham,0,0,0,0,9005
, Nan, Nan,Granbury,0,0,0,0,8170
, Nan, Nan,Grand Prairie,0,0,0,0,181782
, Nan, Nan,Grand Saline,0,0,0,0,3195
, Nan, Nan,Granger,0,0,0,0,1501
, Nan, Nan,Granite Shoals,0,0,0,0,5027
, Nan, Nan,Grapeland,0,0,0,0,1494
, Nan, Nan,Grapevine,0,0,0,0,48095
, Nan, Nan,Gregory,0,0,0,0,1934
, Nan, Nan,Groesbeck,0,0,0,0,4431
, Nan, Nan,Groves,0,0,0,0,16423
, Nan, Nan,Gruver,0,0,0,0,1207
, Nan, Nan,Gun Barrel City,0,0,0,0,5777
, Nan, Nan,Hale Center,0,0,0,0,2301
, Nan, Nan,Hallettsville,0,0,0,0,2610
, Nan, Nan,Hallsville,0,0,0,0,3656
, Nan, Nan,Hamlin,0,0,0,0,2148
, Nan, Nan,Harker Heights,0,0,0,0,27542
, Nan, Nan,Harlingen,0,0,0,0,67112
, Nan, Nan,Haskell,0,0,0,0,3419
, Nan, Nan,Hawk Cove,0,0,0,0,493
, Nan, Nan,Hawkins,0,0,0,0,1303
, Nan, Nan,Hawley,0,0,0,0,639
, Nan, Nan,Hearne,0,0,0,0,4558
, Nan, Nan,Hedwig Village,0,0,0,0,2652
, Nan, Nan,Helotes,0,0,0,0,7636
, Nan, Nan,Hemphill,0,0,0,0,1206
, Nan, Nan,Hempstead,0,0, Nan,0,5968
, Nan, Nan,Hereford,0,0,0,0,15779
, Nan, Nan,Hewitt,0,0,0,0,13973
, Nan, Nan,Hidalgo,0,0,0,0,11706
, Nan, Nan,Highland Village,0,0,0,0,15836
, Nan, Nan,Hill Country Village,0,0,0,0,1024
, Nan, Nan,Hillsboro,0,0,0,0,8653
, Nan, Nan,Hitchcock,0,0,0,0,7174
, Nan, Nan,Holliday,0,0,0,0,1743
, Nan, Nan,Hollywood Park,0,0,0,0,3185
, Nan, Nan,Hondo,0,0,0,0,8992
, Nan, Nan,Hooks,0,0,0,0,2819
, Nan, Nan,Horizon City,0,0,0,0,17418
, Nan, Nan,Horseshoe Bay,0,0,0,0,3459
, Nan, Nan,Howe,0,0,0,0,2652
, Nan, Nan,Hubbard,0,0,0,0,1455
, Nan, Nan,Hudson,0,0,0,0,4849
, Nan, Nan,Hudson Oaks,0,0,0,0,1702
, Nan, Nan,Hughes Springs,0,0,0,0,1774
, Nan, Nan,Humble,0,0,0,0,15684
, Nan, Nan,Huntington,0,0,0,0,2168
, Nan, Nan,Huntsville,0,0,0,0,39243
, Nan, Nan,Hurst,0,0,0,0,38756
, Nan, Nan,Hutchins,0,0,0,0,5484
, Nan, Nan,Hutto,0,0,0,0,15635
, Nan, Nan,Idalou,0,0,0,0,2326
, Nan, Nan,Ingleside,0,0,0,0,9516
, Nan, Nan,Ingram,0,0,0,0,1836
, Nan, Nan,Irving,0,0,0,0,224007
, Nan, Nan,Italy,0,0,0,0,1930
, Nan, Nan,Itasca,0,0,0,0,1684
, Nan, Nan,Jacinto City,0,0,0,0,10941
, Nan, Nan,Jacksboro,0,0,0,0,4574
, Nan, Nan,Jacksonville,0,0,0,0,14856
, Nan, Nan,Jamaica Beach,0,0,0,0,1013
, Nan, Nan,Jarrell,0,0,0,0,1048
, Nan, Nan,Jasper,0,0,0,0,7830
, Nan, Nan,Jefferson,0,0,0,0,2132
, Nan, Nan,Jersey Village,0,0,0,0,7903
, Nan, Nan,Johnson City,0,0,0,0,1698
, Nan, Nan,Jones Creek,0,0,0,0,2095
, Nan, Nan,Jonestown,0,0,0,0,1935
, Nan, Nan,Jourdanton,0,0,0,0,3988
, Nan, Nan,Junction,0,0,0,0,2627
, Nan, Nan,Karnes City,0,0,0,0,3114
, Nan, Nan,Kaufman,0,0,0,0,6934
, Nan, Nan,Keene,0,0,0,0,6259
, Nan, Nan,Keller,0,0,0,0,41137
, Nan, Nan,Kemah,0,0,0,0,1827
, Nan, Nan,Kenedy,0,0,0,0,3380
, Nan, Nan,Kennedale,0,0,0,0,7020
, Nan, Nan,Kerens,0,0,0,0,1608
, Nan, Nan,Kermit,0,0,0,0,5849
, Nan, Nan,Kerrville,0,0,0,0,22759
, Nan, Nan,Killeen,0,0,0,0,131965
, Nan, Nan,Kingsville,0,0,0,0,26716
, Nan, Nan,Kirby,0,0,0,0,8322
, Nan, Nan,Kirbyville,0,0,0,0,2214
, Nan, Nan,Kountze,0,0,0,0,2179
, Nan, Nan,Kress,0,0,0,0,720
, Nan, Nan,Lacy-Lakeview,0,0,0,0,6692
, Nan, Nan,La Feria,0,0,0,0,7516
, Nan, Nan,Lago Vista,0,0,0,0,6369
, Nan, Nan,La Grange,0,0,0,0,4745
, Nan, Nan,La Grulla,0,0,0,0,1667
, Nan, Nan,Laguna Vista,0,0,0,0,3222
, Nan, Nan,La Joya,0,0,0,0,4166
, Nan, Nan,Lake Dallas,0,0,0,0,7473
, Nan, Nan,Lakeside,0,0,0,0,1357
, Nan, Nan,Lakeview,0,0,0,0,6481
, Nan, Nan,Lakeway,0,0,0,0,12007
, Nan, Nan,Lake Worth,0,0,0,0,4755
, Nan, Nan,La Marque,0,0,0,0,14953
, Nan, Nan,Lamesa,0,0,0,0,9497
, Nan, Nan,Lampasas,0,0,0,0,6850
, Nan, Nan,La Porte,0,0,0,0,35054
, Nan, Nan,Laredo,0,0,0,0,245558
, Nan, Nan,La Vernia,0,0,0,0,1071
, Nan, Nan,La Villa,0,0,0,0,2023
, Nan, Nan,Lavon,0,0,0,0,2337
, Nan, Nan,League City,0,0,0,0,86127
, Nan, Nan,Leander,0,0,0,0,28244
, Nan, Nan,Leonard,0,0, Nan, Nan,2016
, Nan, Nan,Leon Valley,0,0,0,0,10558
, Nan, Nan,Levelland,0,0,0,0,13719
, Nan, Nan,Lexington,0,0,0,0,1200
, Nan, Nan,Liberty,0,0,0,0,8282
, Nan, Nan,Linden,0,0,0,0,2004
, Nan, Nan,Little Elm,0,0,0,0,27246
, Nan, Nan,Littlefield,0,0,0,0,6560
, Nan, Nan,Live Oak,0,0,0,0,13657
, Nan, Nan,Livingston,0,0,0,0,5466
, Nan, Nan,Lockhart,0,0,0,0,13013
, Nan, Nan,Lockney,0,0,0,0,1854
, Nan, Nan,Lometa,0,0,0,0,879
, Nan, Nan,Lone Star,0,0,0,0,1594
, Nan, Nan,Lorena,0,0,0,0,1743
, Nan, Nan,Lorenzo,0,0,0,0,1171
, Nan, Nan,Los Fresnos,0,0,0,0,5737
, Nan, Nan,Lott,0,0, Nan, Nan,774
, Nan, Nan,Lubbock,0,0,0,0,237241
, Nan, Nan,Lufkin,0,0,0,0,35956
, Nan, Nan,Luling,0,0,0,0,5549
, Nan, Nan,Lyford,0,0,0,0,2643
, Nan, Nan,Lytle,0,0,0,0,2562
, Nan, Nan,Madisonville,0,0,0,0,4494
, Nan, Nan,Magnolia,0,0,0,0,1464
, Nan, Nan,Malakoff,0,0,0,0,2367
, Nan, Nan,Manor,0,0,0,0,5313
, Nan, Nan,Mansfield,0,0,0,0,58490
, Nan, Nan,Manvel,0,0,0,0,5375
, Nan, Nan,Marlin,0,0,0,0,6082
, Nan, Nan,Marshall,0,0,0,0,24109
, Nan, Nan,Martindale,0,0,0,0,1143
, Nan, Nan,Mathis,0,0,0,0,5010
, Nan, Nan,McAllen,0,0,0,0,135745
, Nan, Nan,McGregor,0,0,0,0,5142
, Nan, Nan,Meadows Place,0,0,0,0,4904
, Nan, Nan,Melissa,0,0,0,0,4936
, Nan, Nan,Memorial Villages,0,0,0,0,11540
, Nan, Nan,Memphis,0,0,0,0,2341
, Nan, Nan,Mercedes,0,0,0,0,16417
, Nan, Nan,Meridian,0,0,0,0,1523
, Nan, Nan,Merkel,0,0,0,0,2653
, Nan, Nan,Mesquite,0,0,0,0,144811
, Nan, Nan,Mexia,0,0,0,0,7652
, Nan, Nan,Midland,0,0,0,0,115637
, Nan, Nan,Midlothian,0,0,0,0,18693
, Nan, Nan,Milford,0,0,0,0,753
, Nan, Nan,Mineola,0,0,0,0,4590
, Nan, Nan,Mineral Wells,0,0,0,0,17045
, Nan, Nan,Mission,0,0,0,0,80557
, Nan, Nan,Monahans,0,0,0,0,7095
, Nan, Nan,Mont Belvieu,0,0,0,0,3942
, Nan, Nan,Montgomery,0,0,0,0,653
, Nan, Nan,Morgans Point Resort,0,0,0,0,4302
, Nan, Nan,Moulton,0,0,0,0,902
, Nan, Nan,Mount Pleasant,0,0,0,0,15941
, Nan, Nan,Muleshoe,0,0,0,0,5295
, Nan, Nan,Munday,0,0,0,0,1333
, Nan, Nan,Mustang Ridge,0,0,0,0,900
, Nan, Nan,Nacogdoches,0,0,0,0,33905
, Nan, Nan,Naples,0,0,0,0,1394
, Nan, Nan,Nash,0,0,0,0,3012
, Nan, Nan,Nassau Bay,0,0,0,0,4151
, Nan, Nan,Navasota,0,0,0,0,7312
, Nan, Nan,Nederland,0,0,0,0,17850
, Nan, Nan,Needville,0,0,0,0,2970
, Nan, Nan,New Boston,0,0,0,0,4630
, Nan, Nan,New Braunfels,0,0,0,0,60482
, Nan, Nan,New Deal,0,0,0,0,821
, Nan, Nan,Nixon,0,0,0,0,2433
, Nan, Nan,Nocona,0,0,0,0,3077
, Nan, Nan,Nolanville,0,0,0,0,4394
, Nan, Nan,Northeast,0,0,0,0,3389
, Nan, Nan,Northlake,0,0,0,0,1815
, Nan, Nan,Oak Ridge,0,0,0,0,142
, Nan, Nan,Oak Ridge North,0,0,0,0,3203
, Nan, Nan,Odessa,0,0,0,0,103635
, Nan, Nan,O'Donnell,0,0,0,0,838
, Nan, Nan,Olmos Park,0,0,0,0,2327
, Nan, Nan,Olney,0,0,0,0,3322
, Nan, Nan,Olton,0,0,0,0,2279
, Nan, Nan,Omaha,0,0,0,0,1039
, Nan, Nan,Onalaska,0,0,0,0,1784
, Nan, Nan,Orange,0,0,0,0,19025
, Nan, Nan,Orange Grove,0,0,0,0,1356
, Nan, Nan,Overton,0,0,0,0,2616
, Nan, Nan,Ovilla,0,0,0,0,3620
, Nan, Nan,Oyster Creek,0,0,0,0,1153
, Nan, Nan,Paducah,0,0,0,0,1199
, Nan, Nan,Palacios,0,0,0,0,4804
, Nan, Nan,Palestine,0,0,0,0,18936
, Nan, Nan,Palmer,0,0,0,0,2074
, Nan, Nan,Palmhurst, Nan, Nan,0,0,2725
, Nan, Nan,Palm Valley,0,0,0,0,1350
, Nan, Nan,Palmview,0,0,0,0,5716
, Nan, Nan,Pampa,0,0,0,0,18452
, Nan, Nan,Panhandle,0,0,0,0,2520
, Nan, Nan,Pantego,0,0,0,0,2486
, Nan, Nan,Paris,0,0,0,0,25693
, Nan, Nan,Parker,0,0,0,0,4017
, Nan, Nan,Pasadena,0,0,0,0,154562
, Nan, Nan,Pearsall,0,0,0,0,9378
, Nan, Nan,Pecos,0,0,0,0,8891
, Nan, Nan,Penitas,0,0,0,0,4605
, Nan, Nan,Perryton,0,0,0,0,9201
, Nan, Nan,Pflugerville,0,0,0,0,49483
, Nan, Nan,Pharr,0,0,0,0,73599
, Nan, Nan,Pilot Point,0,0,0,0,4053
, Nan, Nan,Pinehurst,0,0,0,0,2142
, Nan, Nan,Pittsburg,0,0,0,0,4567
, Nan, Nan,Plainview,0,0,0,0,22678
, Nan, Nan,Pleasanton,0,0,0,0,9206
, Nan, Nan,Point Comfort,0,0, Nan, Nan,750
, Nan, Nan,Ponder,0,0,0,0,1468
, Nan, Nan,Port Aransas,0,0,0,0,3565
, Nan, Nan,Port Arthur,0,0,0,0,54745
, Nan, Nan,Port Isabel,0,0,0,0,5187
, Nan, Nan,Portland,0,0,0,0,15306
, Nan, Nan,Port Neches,0,0,0,0,13266
, Nan, Nan,Poteet,0,0,0,0,3359
, Nan, Nan,Poth,0,0,0,0,1976
, Nan, Nan,Pottsboro,0,0,0,0,2202
, Nan, Nan,Premont,0,0,0,0,2725
, Nan, Nan,Presidio,0,0,0,0,4460
, Nan, Nan,Primera,0,0,0,0,4189
, Nan, Nan,Princeton,0,0,0,0,7175
, Nan, Nan,Progreso,0,0,0,0,5756
, Nan, Nan,Prosper,0,0,0,0,10037
, Nan, Nan,Queen City,0,0,0,0,1494
, Nan, Nan,Quitman,0,0,0,0,1845
, Nan, Nan,Ralls,0,0,0,0,1984
, Nan, Nan,Rancho Viejo,0,0,0,0,2523
, Nan, Nan,Ranger,0,0,0,0,2510
, Nan, Nan,Ransom Canyon,0,0,0,0,1134
, Nan, Nan,Raymondville,0,0,0,0,11428
, Nan, Nan,Red Oak,0,0,0,0,11160
, Nan, Nan,Refugio,0,0,0,0,2900
, Nan, Nan,Reno,0,0,0,0,3236
, Nan, Nan,Richardson,0,0,0,0,103266
, Nan, Nan,Richland Hills,0,0,0,0,8095
, Nan, Nan,Richmond,0,0,0,0,12248
, Nan, Nan,Riesel,0,0,0,0,1039
, Nan, Nan,Rio Grande City,0,0,0,0,14175
, Nan, Nan,Rio Hondo,0,0,0,0,2480
, Nan, Nan,Rising Star,0,0, Nan, Nan,851
, Nan, Nan,River Oaks,0,0,0,0,7711
, Nan, Nan,Roanoke,0,0,0,0,6272
, Nan, Nan,Robinson,0,0,0,0,10840
, Nan, Nan,Robstown,0,0,0,0,11764
, Nan, Nan,Rockdale,0,0,0,0,5655
, Nan, Nan,Rockport,0,0,0,0,8978
, Nan, Nan,Rollingwood,0,0,0,0,1489
, Nan, Nan,Roma,0,0,0,0,10034
, Nan, Nan,Roman Forest,0,0,0,0,1617
, Nan, Nan,Roscoe,0,0,0,0,1348
, Nan, Nan,Rosebud,0,0,0,0,1440
, Nan, Nan,Rose City,0,0,0,0,515
, Nan, Nan,Rosenberg,0,0,0,0,32230
, Nan, Nan,Runaway Bay,0,0,0,0,1321
, Nan, Nan,Sabinal,0,0,0,0,1729
, Nan, Nan,Saginaw,0,0,0,0,20561
, Nan, Nan,Salado,0,0,0,0,2193
, Nan, Nan,San Augustine,0,0,0,0,2138
, Nan, Nan,San Benito,0,0,0,0,25099
, Nan, Nan,San Diego,0,0,0,0,4528
, Nan, Nan,San Felipe,0,0, Nan, Nan,764
, Nan, Nan,Sanger,0,0,0,0,7275
, Nan, Nan,San Juan,0,0,0,0,35394
, Nan, Nan,San Marcos,0,0,0,0,47384
, Nan, Nan,Sansom Park Village,0,0,0,0,4861
, Nan, Nan,Santa Anna,0,0,0,0,1098
, Nan, Nan,Santa Fe,0,0,0,0,12597
, Nan, Nan,Santa Rosa,0,0,0,0,2972
, Nan, Nan,Schertz,0,0,0,0,32964
, Nan, Nan,Schulenburg,0,0,0,0,2915
, Nan, Nan,Seabrook,0,0,0,0,12395
, Nan, Nan,Seagoville,0,0,0,0,15320
, Nan, Nan,Seagraves,0,0,0,0,2519
, Nan, Nan,Sealy,0,0,0,0,6161
, Nan, Nan,Seguin,0,0,0,0,26332
, Nan, Nan,Selma,0,0,0,0,5774
, Nan, Nan,Seminole,0,0,0,0,6703
, Nan, Nan,Seven Points,0,0,0,0,1493
, Nan, Nan,Seymour,0,0,0,0,2792
, Nan, Nan,Shallowater,0,0,0,0,2568
, Nan, Nan,Shamrock,0,0,0,0,1958
, Nan, Nan,Shavano Park,0,0,0,0,3156
, Nan, Nan,Shenandoah,0,0,0,0,2242
, Nan, Nan,Sherman,0,0,0,0,39269
, Nan, Nan,Silsbee,0,0,0,0,6783
, Nan, Nan,Sinton,0,0,0,0,5742
, Nan, Nan,Slaton,0,0,0,0,6328
, Nan, Nan,Smithville,0,0,0,0,3924
, Nan, Nan,Snyder,0,0,0,0,11368
, Nan, Nan,Somerset,0,0,0,0,1696
, Nan, Nan,Somerville,0,0,0,0,1403
, Nan, Nan,Sonora,0,0,0,0,2982
, Nan, Nan,Sour Lake,0,0,0,0,1860
, Nan, Nan,South Houston,0,0,0,0,17614
, Nan, Nan,Southlake,0,0,0,0,27596
, Nan, Nan,Southmayd,0,0,0,0,1012
, Nan, Nan,South Padre Island,0,0,0,0,2914
, Nan, Nan,Southside Place,0,0,0,0,1780
, Nan, Nan,Spearman,0,0,0,0,3396
, Nan, Nan,Splendora,0,0,0,0,1696
, Nan, Nan,Springtown,0,0,0,0,2735
, Nan, Nan,Spring Valley,0,0,0,0,3853
, Nan, Nan,Spur,0,0,0,0,1316
, Nan, Nan,Stafford,0,0,0,0,18623
, Nan, Nan,Stagecoach,0,0,0,0,564
, Nan, Nan,Stamford,0,0,0,0,3160
, Nan, Nan,Stanton,0,0,0,0,2599
, Nan, Nan,Stephenville,0,0,0,0,17511
, Nan, Nan,Stratford,0,0,0,0,2050
, Nan, Nan,Sugar Land,0,0,0,0,82924
, Nan, Nan,Sullivan City,0,0,0,0,4184
, Nan, Nan,Sulphur Springs,0,0,0,0,15774
, Nan, Nan,Sunray,0,0,0,0,1959
, Nan, Nan,Sunrise Beach Village,0,0,0,0,719
, Nan, Nan,Sunset Valley,0,0,0,0,789
, Nan, Nan,Surfside Beach,0,0,0,0,500
, Nan, Nan,Sweeny,0,0,0,0,3866
, Nan, Nan,Taft,0,0,0,0,3090
, Nan, Nan,Tahoka,0,0,0,0,2702
, Nan, Nan,Tatum,0,0,0,0,1420
, Nan, Nan,Taylor,0,0,0,0,16240
, Nan, Nan,Teague,0,0,0,0,3587
, Nan, Nan,Terrell,0,0,0,0,16353
, Nan, Nan,Terrell Hills,0,0,0,0,5073
, Nan, Nan,Texarkana,0,0,0,0,37048
, Nan, Nan,Texas City,0,0,0,0,46448
, Nan, Nan,The Colony,0,0,0,0,38217
, Nan, Nan,Thorndale,0,0,0,0,1353
, Nan, Nan,Thrall,0,0,0,0,892
, Nan, Nan,Three Rivers,0,0,0,0,1861
, Nan, Nan,Timpson,0,0,0,0,1189
, Nan, Nan,Tioga,0,0,0,0,815
, Nan, Nan,Tolar,0,0,0,0,698
, Nan, Nan,Tom Bean,0,0,0,0,1067
, Nan, Nan,Tool,0,0,0,0,2277
, Nan, Nan,Trenton,0,0,0,0,647
, Nan, Nan,Trinity,0,0,0,0,2753
, Nan, Nan,Trophy Club,0,0,0,0,8435
, Nan, Nan,Troup,0,0,0,0,1930
, Nan, Nan,Troy,0,0,0,0,1696
, Nan, Nan,Tulia,0,0,0,0,5010
, Nan, Nan,Tye,0,0,0,0,1272
, Nan, Nan,Universal City,0,0,0,0,19271
, Nan, Nan,Uvalde,0,0,0,0,16065
, Nan, Nan,Valley Mills,0,0,0,0,1228
, Nan, Nan,Valley View,0,0,0,0,768
, Nan, Nan,Van Alstyne,0,0,0,0,3104
, Nan, Nan,Venus,0,0,0,0,3027
, Nan, Nan,Vernon,0,0,0,0,11060
, Nan, Nan,Vidor,0,0,0,0,10974
, Nan, Nan,Waco,0,0,0,0,128595
, Nan, Nan,Waelder,0,0,0,0,1087
, Nan, Nan,Wake Village,0,0,0,0,5587
, Nan, Nan,Waller,0,0,0,0,2410
, Nan, Nan,Wallis,0,0,0,0,1281
, Nan, Nan,Watauga,0,0,0,0,24390
, Nan, Nan,Waxahachie,0,0,0,0,30676
, Nan, Nan,Weatherford,0,0,0,0,25940
, Nan, Nan,Webster,0,0,0,0,10780
, Nan, Nan,Weimar,0,0,0,0,2177
, Nan, Nan,Weslaco,0,0,0,0,37271
, Nan, Nan,West,0,0,0,0,2849
, Nan, Nan,West Columbia,0,0,0,0,4052
, Nan, Nan,West Lake Hills,0,0,0,0,3230
, Nan, Nan,West Orange,0,0,0,0,3523
, Nan, Nan,Westover Hills,0,0,0,0,709
, Nan, Nan,West Tawakoni,0,0,0,0,1608
, Nan, Nan,West University Place,0,0,0,0,15335
, Nan, Nan,Westworth,0,0,0,0,2567
, Nan, Nan,Wharton,0,0,0,0,8971
, Nan, Nan,Whitehouse,0,0,0,0,7913
, Nan, Nan,White Oak,0,0,0,0,6642
, Nan, Nan,Whitesboro,0,0,0,0,3868
, Nan, Nan,White Settlement,0,0,0,0,16716
, Nan, Nan,Whitewright,0,0,0,0,1634
, Nan, Nan,Whitney,0,0,0,0,2137
, Nan, Nan,Willis,0,0,0,0,6079
, Nan, Nan,Willow Park,0,0,0,0,4093
, Nan, Nan,Wills Point,0,0,0,0,3588
, Nan, Nan,Wilmer,0,0,0,0,3805
, Nan, Nan,Windcrest,0,0,0,0,5575
, Nan, Nan,Wink,0,0,0,0,962
, Nan, Nan,Winnsboro,0,0,0,0,3494
, Nan, Nan,Winters,0,0,0,0,2605
, Nan, Nan,Wolfforth,0,0,0,0,3795
, Nan, Nan,Woodbranch,0,0,0,0,1348
, Nan, Nan,Woodville,0,0,0,0,2613
, Nan, Nan,Woodway,0,0,0,0,8587
, Nan, Nan,Wortham,0,0,0,0,1083
, Nan, Nan,Yoakum,0,0,0,0,5935
, Nan, Nan,Yorktown,0,0,0,0,2142
, Nan,Universities and Colleges,Abilene Christian University,0,0,0,0,4558
, Nan, Nan,Alamo Community College District,0,0,0,0,61507
, Nan, Nan,Alvin Community College,0,0,0,0,5129
, Nan, Nan,Amarillo College,0,0,0,0,11616
, Nan, Nan,Austin College,0,0,0,0,1353
, Nan, Nan,Baylor Health Care System4,0,0,0,0,
, Nan, Nan,"Baylor University, Waco",0,0,0,0,15029
, Nan, Nan,Blinn College,0,0,0,0,18106
, Nan, Nan,Brookhaven College,0,0,0,0,13705
, Nan, Nan,Central Texas College,0,0,0,0,26995
, Nan, Nan,College of the Mainland,0,0,0,0,4168
, Nan, Nan,El Paso Community College,0,0,0,0,30723
, Nan, Nan,Grayson College,0,0,0,0,5207
, Nan, Nan,Hardin-Simmons University,0,0,0,0,2358
, Nan, Nan,Houston Baptist University,0,0,0,0,2432
, Nan, Nan,Houston Community College,0,0,0,0,63015
, Nan, Nan,"Lamar University, Beaumont",0,0,0,0,14020
, Nan, Nan,Laredo Community College,0,0,0,0,10076
, Nan, Nan,McLennan Community College,0,0,0,0,10185
, Nan, Nan,Midwestern State University,0,0,0,0,6181
, Nan, Nan,Mountain View College,0,0,0,0,9431
, Nan, Nan,North Lake College,0,0,0,0,11865
, Nan, Nan,Paris Junior College,0,0,0,0,5936
, Nan, Nan,Prairie View A&M University,0,0,0,0,8425
, Nan, Nan,Rice University,0,0,0,0,6224
, Nan, Nan,Richland College,0,0,0,0,20000
, Nan, Nan,South Plains College,0,0,0,0,10482
, Nan, Nan,Southwestern University,0,0,0,0,1347
, Nan, Nan,Stephen F. Austin State University,0,0,0,0,12903
, Nan, Nan,St. Mary's University,0,0,0,0,4188
, Nan, Nan,Tarleton State University,0,0,0,0,11693
, Nan, Nan,Texas A&M International University,0,0,0,0,7037
, Nan, Nan,Texas A&M University:, Nan, Nan, Nan, Nan,
, Nan, Nan,College Station,0,0,0,0,50230
, Nan, Nan,Corpus Christi,0,0,0,0,10162
, Nan, Nan,Galveston,0,0,0,0,2035
, Nan, Nan,Kingsville,0,0,0,0,10290
, Nan, Nan,San Antonio4,0,0,0,0,
, Nan, Nan,Texas Southern University,0,0,0,0,9730
, Nan, Nan,Texas State Technical College:, Nan, Nan, Nan, Nan,
, Nan, Nan,Harlingen,0,0,0,0,5807
, Nan, Nan,Marshall,0,0, Nan, Nan,831
, Nan, Nan,Waco,0,0,0,0,4730
, Nan, Nan,West Texas,0,0,0,0,856
, Nan, Nan,"Texas State University, San Marcos",0,0,0,0,34087
, Nan, Nan,"Texas Tech University, Lubbock",0,0,0,0,32327
, Nan, Nan,Texas Woman's University,0,0,0,0,14718
, Nan, Nan,Trinity University,0,0,0,0,2535
, Nan, Nan,University of Houston:, Nan, Nan, Nan, Nan,
, Nan, Nan,Central Campus,0,0,0,0,39820
, Nan, Nan,Clearlake,0,0,0,0,8185
, Nan, Nan,Downtown Campus,0,0,0,0,12918
, Nan, Nan,University of Mary Hardin-Baylor,0,0,0,0,3137
, Nan, Nan,University of North Texas:, Nan, Nan, Nan, Nan,
, Nan, Nan,Denton,0,0,0,0,37818
, Nan, Nan,Health Science Center,0,0,0,0,1760
, Nan, Nan,University of Texas:, Nan, Nan, Nan, Nan,
, Nan, Nan,Arlington,0,0,0,0,33439
, Nan, Nan,Brownsville,0,0,0,0,14918
, Nan, Nan,Dallas,0,0,0,0,18864
, Nan, Nan,El Paso,0,0,0,0,22640
, Nan, Nan,"Health Science Center, San Antonio",0,0,0,0,3234
, Nan, Nan,"Health Science Center, Tyler4",0,0,0,0,
, Nan, Nan,Houston,0,0,0,0,4916
, Nan, Nan,Medical Branch,0,0,0,0,2825
, Nan, Nan,Pan American,0,0,0,0,19034
, Nan, Nan,Permian Basin,0,0,0,0,3831
, Nan, Nan,San Antonio,0,0,0,0,30968
, Nan, Nan,Southwestern Medical School,0,0,0,0,2487
, Nan, Nan,Tyler,0,0,0,0,6696
, Nan, Nan,West Texas A&M University,0,0,0,0,7886
