Year,State,Agency Type,Agency name,"1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",Population2
, Nan, Nan,Seminole, Nan,1, Nan, Nan,
, Nan, Nan,St. Johns, Nan, Nan,1, Nan,
, Nan, Nan,St. Lucie, Nan, Nan,1, Nan,
, Nan, Nan,Volusia, Nan,2,1,3,
,Georgia,Total, Nan, Nan, Nan, Nan, Nan,
, Nan,Cities, Nan, Nan, Nan, Nan, Nan,
, Nan, Nan,Atlanta,1,4,0,0,472579
, Nan, Nan,Conyers,0,0,0,1,16004
, Nan,Universities and Colleges, Nan, Nan, Nan, Nan, Nan,
, Nan, Nan,University of Georgia,1,0,0,0,36130
, Nan,Metropolitan Counties, Nan, Nan, Nan, Nan, Nan,
, Nan, Nan,Cobb County Police Department,6,7,12,0,
, Nan, Nan,Fulton County Police Department,0,1,0,0,
, Nan, Nan,Gwinnett County Police Department,2,1,3,0,
,Idaho,Total, Nan, Nan, Nan, Nan, Nan,
, Nan,Cities, Nan, Nan, Nan, Nan, Nan,
, Nan, Nan,Blackfoot,0,0,1,0,11700
, Nan, Nan,Boise,1,1,1,0,220749
, Nan, Nan,Chubbuck,0,0,0,1,14515
, Nan, Nan,Coeur d'Alene,0,3,1,1,50155
, Nan, Nan,Meridian,0,0,0,2,94113
, Nan, Nan,Moscow,0,0,0,1,25307
, Nan, Nan,Mountain Home,0,0,0,1,13627
, Nan, Nan,Nampa,0,1,1,0,91520
, Nan, Nan,Payette,0,0,1,0,7360
, Nan, Nan,Pocatello,1,2,0,0,54462
, Nan, Nan,Twin Falls,0,2,0,0,48083
, Nan,Metropolitan Counties, Nan, Nan, Nan, Nan, Nan,
, Nan, Nan,Ada,1,0,0,0,
, Nan, Nan,Canyon,0,2,1,0,
, Nan,Nonmetropolitan Counties, Nan, Nan, Nan, Nan, Nan,
, Nan, Nan,Benewah,1,0,0,0,
,Illinois,Total, Nan, Nan, Nan, Nan, Nan,
, Nan,Cities, Nan, Nan, Nan, Nan, Nan,
, Nan, Nan,Algonquin,0,1,1,0,30673
, Nan, Nan,Aurora,0,1,0,2,201159
, Nan, Nan,Berwyn,0,0,1,2,56305
, Nan, Nan,Bradley, Nan,1,1,1,15561
, Nan, Nan,Braidwood,0,0,1,0,6160
, Nan, Nan,Centralia,0,0,0,1,12580
, Nan, Nan,Champaign,0,0,1,1,87071
, Nan, Nan,Charleston,0,0,1,0,21067
, Nan, Nan,Chicago,5,19,10,17,2725153
, Nan, Nan,Collinsville,0,0,0,1,24599
, Nan, Nan,Crete,0,0,0,1,8171
, Nan, Nan,Crystal Lake,1,0,0,0,40374
, Nan, Nan,De Kalb,0,0,1,0,43034
, Nan, Nan,Downers Grove,0,0,1,0,49894
, Nan, Nan,Effingham,0,0,0,2,12660
, Nan, Nan,Elk Grove Village,0,1,0,0,33255
, Nan, Nan,Flossmoor,0,0,1,0,9479
, Nan, Nan,Glenwood,0,0,1,0,8996
, Nan, Nan,Grayslake,1,0,0,0,20916
, Nan, Nan,Homewood,1,0,0,0,19379
, Nan, Nan,Joliet,0,0,1,1,147886
, Nan, Nan,Mokena,0,0,0,1,20156
, Nan, Nan,Monmouth,0,1,0,0,9261
, Nan, Nan,Morrison,0,1,0,0,4137
, Nan, Nan,New Lenox,0,0,0,1,26085
, Nan, Nan,Normal, Nan,0,2,1,54727
, Nan, Nan,Oak Lawn,1,0,0,0,56791
, Nan, Nan,Pekin,0,0,0,1,33052
, Nan, Nan,Peoria,1,0,0,0,115099
, Nan, Nan,Plainfield,0,0,0,2,43063
, Nan, Nan,Robinson,0,0,1,0,7616
, Nan, Nan,Rockford,1,2,1,1,147363
, Nan, Nan,Salem,0,1,0,0,7249
, Nan, Nan,Springfield,0,1,1,0,116563
, Nan, Nan,Urbana,0,0,0,1,42461
, Nan, Nan,West Chicago,0,0,1,0,27490
, Nan, Nan,Wheeling,1,0,0,0,38158
, Nan, Nan,Woodstock,0,0,0,1,25259
, Nan,Universities and Colleges, Nan, Nan, Nan, Nan, Nan,
, Nan, Nan,"Southern Illinois University, Carbondale",0,0,1,0,17292
, Nan,Metropolitan Counties, Nan, Nan, Nan, Nan, Nan,
, Nan, Nan,Champaign,0,1,1,0,
, Nan, Nan,Sangamon,0,0,0,1,
, Nan, Nan,Will,0,1,0,0,
,Indiana,Total, Nan, Nan, Nan, Nan, Nan,
, Nan,Cities, Nan, Nan, Nan, Nan, Nan,
, Nan, Nan,Anderson, Nan,1, Nan, Nan,55134
, Nan, Nan,Bloomington,3,1,1,4,84772
, Nan, Nan,Fort Wayne,1,1,1,1,261642
, Nan, Nan,Indianapolis,5,11,8,4,866351
, Nan, Nan,La Porte, Nan,2, Nan, Nan,21891
, Nan, Nan,Muncie,0,0,1,0,70065
, Nan, Nan,Munster,1, Nan, Nan, Nan,22865
, Nan, Nan,Plainfield,1,0,0, Nan,31198
, Nan, Nan,South Bend,3,2,5,0,101621
, Nan, Nan,Westville, Nan, Nan,1, Nan,5641
, Nan,Universities and Colleges, Nan, Nan, Nan, Nan, Nan,
, Nan, Nan,Ball State University, Nan, Nan, Nan,1,21196
, Nan, Nan,"Indiana University, Indianapolis", Nan,1, Nan, Nan,30105
, Nan, Nan,Purdue University,1,1,0,1,40472
, Nan,Metropolitan Counties, Nan, Nan, Nan, Nan, Nan,
